,제목,예배,설교자,본문,날짜,교회
93,회복의 은혜(3):무너진 곳이 있습니까?,주일예배,김하나 목사 ,"느 2:11-14,20 ",2018-02-11,명성교회
94,회복의 은혜(2):일어나서 먹으라,주일예배,김하나 목사 ,왕상 19:1-8 ,2018-02-04,명성교회
95,회복의 은혜(1):처음 사랑,주일예배,김하나목사 ,계 2:1-7 ,2018-01-28,명성교회
96,주님은 내 호흡,주일예배,김하나 목사 ,요 20:19-23 ,2018-01-21,명성교회
97,붙들어주심,주일예배,김하나 목사 ,행 15:36-41 ,2018-01-14,명성교회
98,우리가 가야 할 자리,주일예배,김하나목사 ,시 1:1-6 ,2018-01-07,명성교회
99,기도하면 얼마나 좋을텐데,주일예배,김삼환 목사 ,사 37:14-20 ,2017-12-31,명성교회
100,예수 그리스도는 새벽별,주일예배,김삼환 목사 ,마 2:1-12 ,2017-12-24,명성교회
101,성전 그리고 기도,주일예배,김삼환 목사 ,시 28:1-9 ,2017-12-17,명성교회
102,세 개의 십자가,주일예배,김하나목사 ,고전 1:18-25 ,2017-12-03,명성교회
103,은혜가 시작될 때,주일예배,김하나 목사 ,눅 8:43-48 ,2017-11-26,명성교회
104,오직주님,주일예배,김하나 목사 ,전 12:9-14 ,2017-11-19,명성교회
105,가장 중요한 것 다윗에게서 배운다,주일예배,김삼환목사 ,삼하 1:11-16 ,2017-11-05,명성교회
106,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2017-10-22,명성교회
107,대한민국을 지켜주는 교회,주일예배,김삼환 목사 ,"시 27:1-6, 마 16:18-19 ",2017-10-08,명성교회
108,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2017-09-24,명성교회
109,은혜의 보좌 앞으로,주일예배,김삼환목사 ,히 4:14-16 ,2017-09-10,명성교회
110,예수 그리스도에게로 가는 자들이여,주일예배,김삼환 목사 ,눅 4:25-27 ,2017-08-27,명성교회
111,모든 문제를 해결하시는 하나님,주일예배,김삼환목사 ,사 37:14-20 ,2017-08-13,명성교회
112,구원 받은 두 사람이 베푸는 잔치,주일예배,김삼환 목사 ,"마 18:21-35, 눅 19:1-10 ",2017-07-30,명성교회
113,은혜가 왕이다,주일예배,김삼환목사 ,롬 5:15-21 ,2017-07-09,명성교회
114,우리의 샬롬을 위하여 주 예수께서 십자가에서 죽으셨다,주일예배,김삼환목사 ,엡 2:13-18 ,2017-06-25,명성교회
115,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2017-06-18,명성교회
116,열심히 기도하세요 성령이 함께 하십니다,주일예배,김삼환목사 ,"행 1:4-5,8,14,2:1-4,2:37-42 ",2017-06-04,명성교회
117,모든 인간의 보물 1호는 오직 하나님,주일예배,김삼환목사 ,신 6:1-9 ,2017-05-21,명성교회
118,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2017-05-07,명성교회
119,패역한 세대에서 교회 중심,주일예배,김삼환 목사 ,행 2:37-47 ,2017-04-23,명성교회
120,십자가로 사는 사람들,주일예배,김삼환 목사 ,빌 2:5-12 ,2017-04-09,명성교회
121,십자가의 능력,주일예배,김삼환 목사 ,고전 1:18-25 ,2017-03-26,명성교회
122,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2017-03-12,명성교회
123,가장 귀한 것은 믿음 지키는 것이다,주일예배,김삼환 목사 ,"단 6:10-11,24-27 ",2017-02-26,명성교회
124,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2017-02-12,명성교회
125,하나님의 영에 감동된 사람,주일예배,김삼환 목사 ,창 41:37-43 ,2017-01-29,명성교회
126,2017년을 하나님의 능력으로,주일예배,김삼환 목사 ,시 46:1-11 ,2017-01-15,명성교회
127,2017년을 오직 하나님 사랑으로,주일예배,김삼환 목사 ,시 18:1 ,2017-01-01,명성교회
128,"동방박사, 그 영광스런 이름이여",주일예배,김삼환 목사 ,마 2:1-12 ,2016-12-18,명성교회
129,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2016-12-04,명성교회
130,오직 하나! 하나님만 잘 믿으십시오,주일예배,김삼환 목사 ,신 8:11-20 ,2016-11-20,명성교회
131,약한 자여 그는 예수 그리스도시로다,주일예배,김삼환목사 ,고후 12:5-10 ,2016-11-06,명성교회
132,모든 은혜는 이렇게 받습니다,주일예배,김삼환 목사 ,눅 4:25-30 ,2016-10-23,명성교회
133,성령은 하나님의 선물입니다,주일예배,김삼환목사 ,행 2:37-42 ,2016-10-09,명성교회
134,기도해서 아들을 얻었다는 고백은 맞는 말입니다,주일예배,김삼환 목사 ,삼상 1:26-28 ,2016-09-25,명성교회
135,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2016-09-11,명성교회
136,믿음은 곧 선포다,주일예배,김삼환 목사 ,시 16:1-5 ,2016-08-28,명성교회
137,하나님은 반드시 광야로 인도하신다,주일예배,김삼환목사 ,출 13:17-22 ,2016-08-14,명성교회
138,미스바의 기도,주일예배,김삼환목사 ,"삼상 7:3-6, 12-14 ",2016-07-31,명성교회
139,주일3부예배,주일예배, , ,2016-07-17,명성교회
140,하나님의 자녀에게는 사명이 있다,주일예배,김삼환 목사 ,행20:24 ,2016-07-03,명성교회
141,이렇게 좋은 일이 또 어디 있는가?,주일예배,김삼환 목사 ,요15:1-11 ,2016-06-19,명성교회
142,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2016-06-05,명성교회
143,다윗같이 성전 사랑,주일예배,김삼환 목사 ,시27:1-6 ,2016-05-22,명성교회
144,여러분의 하나님이 주시는 행복한 가정이 되십시오,주일예배,김삼환 목사 ,"룻 1:15-18, 4:13-17 ",2016-05-08,명성교회
145,세상 끝날까지 기도하라,주일예배,김삼환 목사 ,"대상 21:1-2 , 7-8 , 16-17 ",2016-04-24,명성교회
146,나의 동족을 구원하여 주소서,주일예배,김삼환 목사 ,롬9:1-3 ,2016-04-10,명성교회
147,부활의 주님을 만난 자가 누구냐.,주일예배,김삼환 목사 ,마28:1-10 ,2016-03-27,명성교회
148,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2016-03-13,명성교회
149,우리 하나님은 위대하시다.,주일예배,김삼환 목사 ,"출14:13-16, 21-25 ",2016-02-28,명성교회
150,사무엘의 어머니는 기도의 어머니였습니다.,주일예배,김삼환 목사 ,"삼상1:9-11, 25-27 ",2016-02-14,명성교회
151,"주 예수그리스도, 그는 우리의 희망",주일예배,김삼환 목사 ,눅 5:1-11 ,2016-01-31,명성교회
152,"하나님 사랑, 이웃 사랑 한 번 도전해 보십시오",주일예배,김삼환 목사 ,눅 10:25-37 ,2016-01-17,명성교회
153,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2016-01-03,명성교회
154,큰 기쁜 좋은 소식 너도 전해라,주일예배,김삼환 목사 ,눅 2:8-14 ,2015-12-20,명성교회
155,그들은 왜 그렇게 사는가,주일예배,김삼환 목사 ,행 2:37-47 ,2015-12-06,명성교회
156,집사의 자격은 성령과 믿음입니다,주일예배,김삼환 목사 ,행 6:1-7 ,2015-11-22,명성교회
157,히스기야 왕의 기도,주일예배,김삼환 목사 ,"사 37:14-20, 33-38 ",2015-11-08,명성교회
158,10:1의 감사,주일예배,김삼환 목사 ,눅 17:11-17 ,2015-10-25,명성교회
159,제단 중심의 삶,주일예배,김삼환 목사 ,창 13:14-18 ,2015-10-11,명성교회
160,은혜를 아는 것 이것이 축복이다,주일예배,김삼환 목사 ,대상 29:6-14 ,2015-09-27,명성교회
161,하나님이 함께 하는 사람들은 어떻게 사는가,주일예배,김삼환 목사 ,창 39:1-6 ,2015-09-13,명성교회
162,성령이여 오시옵소서,주일예배,김삼환 목사 ,"행 1:8,15,2:1-4,16-18,37-38,46-47 ",2015-08-30,명성교회
163,해방! 자유!예수 그리스도께서 주신 선물,주일예배,김삼환 목사 ,갈 5:1 ,2015-08-16,명성교회
164,풀무불도 두렵지 않은 자녀들,주일예배,김삼환 목사 ,단 3:13-18 ,2015-08-02,명성교회
165,예수 그리스도 그는 영원하시다,주일예배,김삼환 목사 ,빌 3:5-9 ,2015-07-19,명성교회
166,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2015-07-05,명성교회
167,고통의 원인,주일예배,김삼환 목사 ,시107:10-15 ,2015-06-21,명성교회
168,분명하다 오직 예수 그리스도 한 분뿐이시다,주일예배,김삼환 목사 ,고후4:7-18 ,2015-06-07,명성교회
169,믿음은 순수한 것입니다,주일예배,김삼환 목사 ,룻1:15-18 ,2015-05-24,명성교회
170,금주에는 김삼환 목사님의 설교가 제공 되지 않습니다,주일예배, , ,2015-05-03,명성교회
171,누가 뭐라 해도 우리는 십자가,주일예배,김삼환 목사 ,고전 1:18-31 ,2015-04-19,명성교회
172,오직복음! 그것은 예수님의 부활이다.,주일예배,김삼환 목사 ,마 28:1-10 ,2015-04-05,명성교회
173,내려가라 그리하면 올라가리라,주일예배,김삼환 목사 ,빌2:5-11 ,2015-03-22,명성교회
174,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2015-03-08,명성교회
175,교회는 기도해야 산다,주일예배,김삼환 목사 ,행 12:1-5 ,2015-02-22,명성교회
176,하나님께 영광을,주일예배,김삼환 목사 ,눅 17:11-19 ,2015-02-08,명성교회
177,잘 믿는 사람은 어떤 사람인가,주일예배,김삼환 목사 ,시 34:7-10 ,2015-01-25,명성교회
178,양의 행복,주일예배,김삼환 목사 ,"시 23:1-6, 요 10:10-16 ",2015-01-11,명성교회
179,"오직 주님, 좌도 우도 아닙니다",주일예배,김삼환 목사 ,수 1:7-8 ,2014-12-28,명성교회
180,오직 너는 영적인 사람이 되라,주일예배,김삼환 목사 ,롬 12:1-2 ,2014-12-14,명성교회
181,삭개오야 내려오라,주일예배,김삼환 목사 ,눅 19:1-10 ,2014-11-30,명성교회
182,요셉같이 살아라,주일예배,김삼환 목사 ,창 41:37-43 ,2014-11-16,명성교회
183,더 미룰 수 없는 신앙,주일예배,김삼환 목사 ,창 28:10-22 ,2014-11-02,명성교회
184,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2014-10-19,명성교회
185,풍성한 은혜의 집,주일예배,김삼환 목사 ,엡 3:14-21 ,2014-10-05,명성교회
186,예수님과 함께 사는 제2의 인생,주일예배,김삼환 목사 ,고후5:15-17 ,2014-09-21,명성교회
187,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2014-09-06,명성교회
188,위로의 주님,주일예배,김삼환 목사 ,눅 11:5-13 ,2014-08-24,명성교회
189,서로 잘 지내는 이웃사촌,주일예배,김삼환 목사 ,엡 4:25-32 ,2014-08-10,명성교회
190,오직 하나님께 영광,주일예배,김삼환 목사 ,대상 29:10-13 ,2014-07-27,명성교회
191,사도바울은 훌륭한 경주자입니다,주일예배,김삼환 목사 ,딤후4:1-8 ,2014-07-13,명성교회
192,주 예수 그리스도 그보다 귀한 분은 없다,주일예배,김삼환 목사 ,마 12:40-42 ,2014-06-29,명성교회
193,오직 예수님,주일예배,김삼환 목사 ,히 12:1-2 ,2014-06-15,명성교회
194,우리는 왜 안됩니까,주일예배,김삼환 목사 ,막 9:28-29 ,2014-06-01,명성교회
195,풍랑 속의 메시지,주일예배,김삼환 목사 ,행 27:20-26 ,2014-05-18,명성교회
196,"여호와는 나의 목자, 예수 그리스도는 선한 목자",주일예배,김삼환 목사 ,"시 23:1-6, 요10:11-15 ",2014-05-04,명성교회
197,부활의 주 예수 그리스도 만왕의 왕,주일예배,김삼환 목사 ,"마 28:5-7, 벧전 1:3-4 ",2014-04-20,명성교회
198,저 낮은 자들을 위하여,주일예배,김삼환 목사 ,마 11:2-6 ,2014-04-06,명성교회
199,주님만 바라보는 삶,주일예배,김삼환 목사 ,"렘 49:16-19, 신8:13-14, 17 ",2014-03-23,명성교회
200,은혜 받은 자의 노래,주일예배,김삼환 목사 ,사 38:17-20 ,2014-03-09,명성교회
201,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2014-02-23,명성교회
202,오직 예수 안에서,주일예배,김삼환 목사 ,빌 4:11-13 ,2014-02-09,명성교회
203,그 땅으로 가라,주일예배,김삼환 목사 ,수 1:1-5 ,2014-01-26,명성교회
204,"은혜를 받은 자여, 찬양할지어다",주일예배,김삼환 목사 ,눅1:46-56 ,2014-01-12,명성교회
205,채우려는 자의 몸부림,주일예배,김삼환 목사 ,눅 19:1-10 ,2013-12-29,명성교회
206,사마리아 사람이 될 순 없을까?,주일예배,김삼환 목사 ,눅 10:30-37 ,2013-12-15,명성교회
207,예수님은 나의 목자,주일예배,김삼환 목사 ,요 10:1-15 ,2013-12-01,명성교회
208,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2013-11-17,명성교회
209,하나님이 기뻐하시는 삶,주일예배,김삼환 목사 ,미 6:6-8 ,2013-11-03,명성교회
