,제목,예배,설교자,본문,날짜
223,거룩한 임재의 자리로,주일 3부예배,김승욱 목사,이사야 6:1-7,2018-09-09
224,거룩한 임재의 자리로,주일4부 뉴웨이브예배 실황,김승욱 목사,이사야 6:1-7,2018-09-09
225,하나님이 기억하시는 사람들,주일 1부 이른예배,백명렬 목사,느헤미야 3:1-5,2018-09-02
226,큰 파도여 잠잠하라,주일4부 뉴웨이브예배 실황,안만기 목사,마가복음 4:35-41,2018-09-02
227,은혜의 보좌 앞으로,주일 3부예배,김승욱 목사,히브리서 4:14-16,2018-09-02
228,사귐과 누림,주일 1부 이른예배,김정진 목사,요한일서 1:1-10,2018-08-26
229,성공이 아닙니다.,주일4부 뉴웨이브예배 실황,손경일 목사 / 미국 마운틴뷰 새누리교회 담임,누가복음 5:1-11,2018-08-26
230,믿음으로,주일 3부예배,손경일 목사 / 미국 마운틴뷰 새누리교회 담임,히브리서 11:4-5,2018-08-26
231,잠의 의미,주일 1부 이른예배,윤현준 목사,시편 127:1-2,2018-08-19
232,시편 23편 3 : 내 잔이 넘치나이다,주일4부 뉴웨이브예배 실황,김승욱 목사,시편 23:1-6,2018-08-19
233,시편 23편 3 : 내 잔이 넘치나이다,주일 2부예배,김승욱 목사,시편 23:1-6,2018-08-19
234,주와 같이 길 가는 것,주일 1부 이른예배,한용기 목사,창세기 5:21-27,2018-08-12
235,시편 23편 2 : 나는 두렵지 않습니다.,주일4부 뉴웨이브예배 실황,김승욱 목사,시편 23:1-6,2018-08-12
236,시편 23편 2 : 나는 두렵지 않습니다.,주일 3부예배,김승욱 목사,시편 23:1-6,2018-08-12
237,인도하심,주일 1부 이른예배,서계원 목사,출애굽기 6:13,2018-08-05
238,우리가 드릴 영적 예배,주일4부 뉴웨이브예배 실황,안만기 목사,로마서 12:1-2,2018-08-05
239,시편 23편 1 : 내게 부족함이 없습니다,주일 3부예배,김승욱 목사,시편 23:1-6,2018-08-05
240,기도 그 이후,주일 1부 이른예배,김병건 목사,열왕기상 18:41-46,2018-07-29
241,"하나님 나라, 디아스포라, 우리",주일4부 뉴웨이브예배 실황,김승욱 목사,"누가복음 17:20-21 , 다니엘 2:44",2018-07-29
242,"하나님 나라, 디아스포라, 우리",주일 3부예배,김승욱 목사,"누가복음 17:20-21 , 다니엘 2:44",2018-07-29
243,동행하는 믿음,주일 1부 이른예배,유장옥 목사,"창세기 5:21-24 , 히브리서 11:5-6",2018-07-22
244,충돌하는 세계관,주일 3부예배,김승욱 목사,사도행전 26: 21-26,2018-07-22
245,충돌하는 세계관,주일4부 뉴웨이브예배 실황,김승욱 목사,사도행전 26: 21-26,2018-07-22
246,영원한 나라 백성으로 살라,주일 1부 이른예배,이병수 목사,베드로후서 1:10-11,2018-07-15
247,교회를 향한 하나님의 약속,주일4부 뉴웨이브예배 실황,김승욱 목사,사도행전 20:28-32,2018-07-15
248,교회를 향한 하나님의 약속,주일 2부예배,김승욱 목사,사도행전 20: 28-32,2018-07-15
249,주님의 사랑법,주일 1부 이른예배,김민수 목사,요한복음 13:1-8,2018-07-08
250,아침마다 새로운 주의 신실하심,주일 2부예배,김승욱 목사,예레미야애가 3:22-26,2018-07-08
251,아침마다 새로운 주의 신실하심,주일4부 뉴웨이브예배 실황,김승욱 목사,예레미야애가 3:22-26,2018-07-08
252,반드시 주님은 오십니다.,주일 1부 이른예배,윤영근 목사,다니엘 10:10-14,2018-07-01
253,하나님 나라에 속한 자들,주일4부 뉴웨이브예배 실황,안만기 목사,마가복음 6:7-13,2018-07-01
254,사람은 무엇으로 사는가,주일 2부예배,정창균 목사 / 합동신학대학원대학교 총장,에베소서 6:24,2018-07-01
255,하나님이 씨름을 걸어오실때,주일 1부 이른예배,고대영 목사,창세기 32:21-30,2018-06-24
256,하나님의 생각,주일4부 뉴웨이브예배 실황,김상복 목사,예레미야 29: 10-14,2018-06-24
257,하나님의 생각,주일 3부예배,김상복 목사,예레미야 29: 10-14,2018-06-24
258,내일을 준비하는 사람,주일 1부 이른예배,백명렬 목사,느헤미야 2:1~10,2018-06-17
259,죽은 예수를 사랑하는 사람들,주일4부 뉴웨이브예배 실황,임헌만 목사 / 행복드림교회 담임목사,요한복음 19: 38~42,2018-06-17
260,죽은 예수를 사랑하는 사람들,주일 3부예배,임헌만 목사 / 행복드림교회 담임목사,요한복음 19:38~42,2018-06-17
261,은혜를 유통하는 삶,주일 1부 이른예배,서계원 목사,마태복음 20:1-16,2018-06-10
262,골로새서 20 : 동역의 기쁨,주일4부 뉴웨이브예배 실황,김승욱 목사,골로새서 4: 7~18,2018-06-10
263,골로새서 20 : 동역의 기쁨,주일 3부예배,김승욱 목사,골로새서 4:7~18,2018-06-10
264,미운 사람 기도 한 번 더 해주자,주일 1부 이른예배,유장옥 목사,시편 83:1-18,2018-06-03
265,깨어있는 영성으로 복음을 살라,주일4부 뉴웨이브예배 실황,안만기 목사,골로새서 4:2-6,2018-06-03
266,골로새서 19 마지막 권면 : 기도와 지혜로,주일 3부예배,김승욱 목사,골로새서 4:2-6,2018-06-03
267,하나님의 영이 움직이게 하십시오,주일 1부 이른예배,한용기 목사,스가랴 4:1-10,2018-05-27
268,골로새서 18 : 예수님을 주로 삼은 고용인과 고용주,주일 4부 뉴웨이브예배실황,김승욱 목사,골로새서 3:22-4:1,2018-05-27
269,골로새서 18 : 예수님을 주로 삼은 고용인과 고용주,주일 3부 예배,김승욱 목사,골로새서 3:22-4:1,2018-05-27
270,그리하면 너와 네 집이 구원을 받으리라,주일 4부 뉴웨이브예배,김승욱 목사,사도행전 16:31,2018-05-20
271,다음세대를 위해 해야할 일,주일 1부 이른예배,윤영근 목사,에스겔 37:1-14,2018-05-13
272,골로새서 17 : 예수님을 주로 삼은 자녀와 부모,주일 3부 예배,김승욱 목사,골로새서 3:20-21,2018-05-13
273,다음세대를 위해 해야할 일,주일 1부 이른예배,윤현준 목사,시편 78:1-8,2018-05-06
274,하나님과의 관계를 확신하십시오,주일 1부 이른예배,김민수 목사,시편 23:1-6,2018-04-29
275,골로새서 15 : 우리가 새로 입어야 할 하늘의 모습,주일4부 뉴웨이브예배(실황),김승욱 목사,골로새서 3:12-17,2018-04-29
276,골로새서 15 : 우리가 새로 입어야 할 하늘의 모습,주일 3부 예배,김승욱 목사,골로새서 3:12-17,2018-04-29
277,새 사람,주일1부 이른예배,이병수 목사,골로새서 3:10,2018-04-22
278,골로새서 14 : 우리가 벗어 버려야 할 땅의 모습,주일4부 뉴웨이브예배(실황),김승욱 목사,골로새서 3:5-11,2018-04-22
279,골로새서 14 : 우리가 벗어 버려야 할 땅의 모습,주일3부 예배,김승욱 목사,골로새서 3:5-11,2018-04-22
280,오직 예수,주일1부 이른예배,고대영 목사,에베소서 4:4-10,2018-04-15
281,위의 것을 찾으라,주일4부 뉴웨이브예배(실황),안만기 목사,골로새서 3:1-4,2018-04-15
282,골로새서 13 : 주님과 함께 다시 살게 되었으니,주일3부 예배,김승욱 목사,골로새서 3:1-4,2018-04-15
283,하나님은 우리의 피난처,주일1부 이른예배,백명렬 목사,시편 46:1-11,2018-04-08
284,다시 서십시오,주일3부 예배,김승욱 목사,시편 73:21-28,2018-04-08
285,다시 서십시오,주일4부 뉴웨이브예배(실황),김승욱 목사,시편 73:21-28,2018-04-08
286,내가 예수 그리스도의 부활을 믿는 이유,주일1부 이른예배,김승욱 목사,"고린도전서 15:14, 로마서 8:11",2018-04-01
287,내가 예수 그리스도의 부활을 믿는 이유,주일4부 뉴웨이브예배(실황),김승욱 목사,"고린도전서 15:14, 로마서 8:11",2018-04-01
288,내가 예수 그리스도의 부활을 믿는 이유,주일3부 예배,김승욱 목사,"고린도전서 15:14, 로마서 8:11",2018-04-01
289,십자가를 향한 행진,주일1부 이른예배,서계원 목사,마태복음 21:1-11,2018-03-25
290,고난의 시작 : 나귀를 타고 오시는 왕,주일3부 예배,김승욱 목사,마태복음 21:1-11,2018-03-25
291,고난의시작 : 나귀를 타고 오시는 왕,주일4부 뉴웨이브예배(실황),김승욱 목사,마태복음 21:1-11,2018-03-25
292,내 안에 예수가 있습니까?,주일1부 이른예배,김정진 목사,사도행전 3:1-10,2018-03-18
293,힘을 다하여 하나님을 사랑합시다 - 어떻게?(How),주일3부 예배,김승욱 목사,"로마서 12:1, 고린도전서 10:31",2018-03-18
294,힘을 다하여 하나님을 사랑합시다 - 어떻게?(How),주일4부 뉴웨이브예배(실황),김승욱 목사,"로마서 12:1, 고린도전서 10:31",2018-03-18
295,그의 백성 된 자는,주일1부 이른예배,한용기 목사,에스라 1:3-4,2018-03-11
296,힘을 다하여 하나님을 사랑합시다 - 왜?(Why),주일2부 예배,김승욱 목사,로마서 6:1-6,2018-03-11
297,힘을 다하여 하나님을 사랑합시다 - 왜?(Why),주일4부 뉴웨이브예배(실황),김승욱 목사,로마서 6:1-6,2018-03-11
298,선으로 바꾸시는 하나님,주일1부 이른예배,윤현준 목사,창세기 50:20,2018-03-04
299,사랑의 현장으로 나아갑시다,주일2부 예배,김승욱 목사,요한일서 3:14-24,2018-03-04
300,사랑의 현장으로 나아갑시다,주일4부 뉴웨이브예배(실황),김승욱 목사,요한일서 3:14-24,2018-03-04
301,가능하게 하시는 하나님,주일1부 이른예배,김병건 목사,데살로니가전서 5:16-24,2018-02-25
302,주의 영광으로 우리 땅에 머무소서,주일4부 뉴웨이브예베(실황),김승욱 목사,시편 85:1-13,2018-02-25
303,주의 영광으로 우리 땅에 머무소서,주일2부 예배,김승욱 목사,시편 85:1-13,2018-02-25
304,쿰:이에 주의 백성이 일어나다,주일1부 이른예배,윤영근 목사,에스라 10:1-17,2018-02-18
305,뜻을 다하여 하나님을 사랑합시다 - 어떻게?(How),주일4부 뉴웨이브예배(실황),김승욱 목사,베드로전서 1:13-21,2018-02-18
306,뜻을 다하여 하나님을 사랑합시다-어떻게?(How),주일3부 예배,김승욱 목사,베드로전서 1:13-21,2018-02-18
307,하나님의 뜻을 이루어가는 방법,주일1부 이른예배,고대영 목사,창세기 27:1-13,2018-02-11
308,뜻을 다하여 하나님을 사랑합시다-왜?(Why),주일3부 예배,김승욱 목사,에베소서 2:1-7,2018-02-11
309,뜻을 다하여 하나님을 사랑합시다-왜?(Why),주일4부 뉴웨이브예배(실황),김승욱 목사,에베소서 2:1-7,2018-02-11
310,믿음의 말이 능력입니다,주일1부 이른예배,유장옥 목사,민수기 14:26-35,2018-02-04
311,목숨을 다하여 하나님을 사랑합시다-어떻게?(How),주일4부 뉴웨이브예배(실황),김승욱 목사,시편 19:7-14,2018-02-04
