,제목,예배,설교자,본문,날짜,교회
123,"제3 환상 : 성곽 대신, 불 성곽으로",주일예배,오정현 목사,스가랴 2:1~5,2020-07-12,사랑의교회
124,제2 환상 : 숙련된 대장장이의 계보(系譜),주일예배,오정현 목사,스가랴 1:18~21,2020-07-05,사랑의교회
125,"한국 전쟁 70주년, 질투하시는 하나님",주일예배,오정현 목사,스가랴 1:7~17,2020-06-28,사랑의교회
126,낙심하지 않는 질그릇,주일예배,오정현 목사,고린도후서 4:7~12,2020-06-07,사랑의교회
127,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
128,평강,주일예배,오정현 목사,요한복음 20:19~27,2020-05-03,사랑의교회
129,부활의 영이 내게 임하면,주일예배,오정현 목사,요한복음 11:23~27,2020-04-12,사랑의교회
130,십자가만 자랑합시다,주일예배,오정현 목사,갈라디아서 6:14~17,2020-04-05,사랑의교회
131,소명자의 결단,주일예배,오정현 목사,에스더 4:1~17,2020-03-29,사랑의교회
132,가시도 능력이 될 수 있다,주일예배,오정현 목사,고린도후서 12:7~10,2020-02-23,사랑의교회
133,하나님 나라 역사의 비밀,주일예배,오정현 목사,마태복음 13:10~17,2020-01-05,사랑의교회
134,"그러면, 우리는 어떻게 살아야 하나?",주일예배,오정현 목사,시편 90:1~17,2019-12-29,사랑의교회
135,모든 세대가 함께 꾸는 꿈,주일예배,오정현 목사,사도행전 2:17,2019-12-01,사랑의교회
136,‘젖 뗀 아이의 평온’을 주신 주님께 감사,주일예배,오정현 목사,시편 131:1~3,2019-11-17,사랑의교회
137,오직 성경으로,주일예배,오정현 목사,디모데후서 3:15~17,2019-11-03,사랑의교회
138,피곤 극복,주일예배,오정현 목사,이사야 40:27~31,2019-09-15,사랑의교회
139,섭리의 신비,주일예배,오정현 목사,"룻기 1:20~22, 4:13~17",2019-08-11,사랑의교회
140,심판의 날을 준비하라,주일예배,오정현 목사,스가랴 6:1~8,2020-09-20,사랑의교회
141,순금 등잔대의 환상,주일예배,오정현 목사,스가랴 4:1~6,2020-08-30,사랑의교회
142,섭리의 신비와 축복,주일예배,오정현 목사,창세기 45:1~5,2020-08-16,사랑의교회
143,제4 환상 Ⅱ:우리는 예표의 사람들,주일예배,오정현 목사,스가랴 3:6~10,2020-08-02,사랑의교회
144,제2 환상 : 숙련된 대장장이의 계보(系譜),주일예배,오정현 목사,스가랴 1:18~21,2020-07-05,사랑의교회
145,"한국 전쟁 70주년, 질투하시는 하나님",주일예배,오정현 목사,스가랴 1:7~17,2020-06-28,사랑의교회
146,영향력,주일예배,오정현 목사,열왕기상 18:1~15,2020-03-15,사랑의교회
147,정체성,주일예배,오정현 목사,다니엘 1:3~9,2020-03-08,사랑의교회
148,지금 내 마음 밭은 어떠한가?,주일예배,오정현 목사,"마태복음 13:1~9, 18~23",2020-01-12,사랑의교회
149,성육신의 신비,주일예배,오정현 목사,요한복음 1:14~18,2019-12-22,사랑의교회
150,로마도 보아야 하리라,주일예배,오정현 목사,"사도행전 1:8, 19:20~21",2019-12-08,사랑의교회
151,최선은 아직 오지 않았다,주일예배,오정현 목사,룻기 4:13~22,2019-09-08,사랑의교회
152,보이지 않는 하나님의 거룩한 즉흥성,주일예배,오정현 목사,룻기 2:1~9,2019-08-25,사랑의교회
153,섭리의 신비,주일예배,오정현 목사,"룻기 1:20~22, 4:13~17",2019-08-11,사랑의교회
154,민족을 치유하는 기도,주일예배,오정현 목사,역대하 6:18~40,2019-06-30,사랑의교회
155,이렇게 축복하라,주일예배,오정현 목사,창세기 48:1~4,2019-05-26,사랑의교회
156,인생의 참된 가치는 어디서 결정되나?,주일예배,오정현 목사,"시편 73:1~3, 28",2019-04-14,사랑의교회
157,예수 믿는 사람은 어디서 힘을 얻는가?,주일예배,오정현 목사,에베소서 5:18,2019-03-24,사랑의교회
158,담을 뛰어넘나이다,주일예배,오정현 목사,여호수아 14:10~15,2018-12-30,사랑의교회
159,구세주의 탄생이 확실하도다,주일예배,오정현 목사,누가복음 2:10~11,2018-12-23,사랑의교회
160,메시아의 대관식,주일예배,오정현 목사,스가랴 6:9~15,2020-09-27,사랑의교회
161,심판의 날을 준비하라,주일예배,오정현 목사,스가랴 6:1~8,2020-09-20,사랑의교회
162,죄악 청산,주일예배,오정현 목사,스가랴 5:1~11,2020-09-13,사랑의교회
163,한결같은 순금 등대파,주일예배,오정현 목사,스가랴 4:6~14,2020-09-06,사랑의교회
164,제3 환상 Ⅱ : 눈동자 같이 지키시는 하나님,주일예배,오정현 목사,스가랴 2:6~13,2020-07-19,사랑의교회
165,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
166,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
167,믿음 계승,주일예배,오정현 목사,창세기 25:19~23,2020-05-24,사랑의교회
168,평강,주일예배,오정현 목사,요한복음 20:19~27,2020-05-03,사랑의교회
169,새날을 여는 사랑의 능력,주일예배,오정현 목사,"요한복음 20:1, 11~16",2020-04-19,사랑의교회
170,소명자의 결단,주일예배,오정현 목사,에스더 4:1~17,2020-03-29,사랑의교회
171,고난과 영광,주일예배,오정현 목사,"베드로전서 4:12~14, 19",2020-03-22,사랑의교회
172,정체성,주일예배,오정현 목사,다니엘 1:3~9,2020-03-08,사랑의교회
173,알곡 신앙의 역사의식,주일예배,오정현 목사,"마태복음 13:24~30, 36~43",2020-01-19,사랑의교회
174,지금 내 마음 밭은 어떠한가?,주일예배,오정현 목사,"마태복음 13:1~9, 18~23",2020-01-12,사랑의교회
175,"그러면, 우리는 어떻게 살아야 하나?",주일예배,오정현 목사,시편 90:1~17,2019-12-29,사랑의교회
176,성육신의 신비,주일예배,오정현 목사,요한복음 1:14~18,2019-12-22,사랑의교회
177,천국 소망이 나를 어떻게 살리는가?,주일예배,오정현 목사,고린도후서 4:16~5:1,2019-12-15,사랑의교회
178,로마도 보아야 하리라,주일예배,오정현 목사,"사도행전 1:8, 19:20~21",2019-12-08,사랑의교회
179,모든 세대가 함께 꾸는 꿈,주일예배,오정현 목사,사도행전 2:17,2019-12-01,사랑의교회
180,믿음의 기초,주일예배,오정현 목사,요한복음 2:1~11,2020-10-04,사랑의교회
181,제4 환상 Ⅱ:우리는 예표의 사람들,주일예배,오정현 목사,스가랴 3:6~10,2020-08-02,사랑의교회
182,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
183,"내가 사는 이유, 사명",주일예배,오정현 목사,요한복음 20:21~23,2020-05-10,사랑의교회
184,가시도 능력이 될 수 있다,주일예배,오정현 목사,고린도후서 12:7~10,2020-02-23,사랑의교회
185,하나님 나라 역사의 비밀,주일예배,오정현 목사,마태복음 13:10~17,2020-01-05,사랑의교회
186,오직 성경으로,주일예배,오정현 목사,디모데후서 3:15~17,2019-11-03,사랑의교회
187,구할 때 주시는 성령 충만,주일예배,오정현 목사,누가복음 11:11~13,2019-10-20,사랑의교회
188,생명의 복음은 누구를 위한 것인가?,주일예배,오정현 목사,누가복음 19:5~10,2019-10-13,사랑의교회
189,은혜의 날개 아래서,주일예배,오정현 목사,룻기 2:10~13,2019-09-01,사랑의교회
190,"일곱 별, 일곱 금 촛대의 비밀",주일예배,오정현 목사,요한계시록 1:20,2019-03-10,사랑의교회
191,성도가 왜 고난을 받는가?,주일예배,오정현 목사,욥기 23:10,2019-02-24,사랑의교회
192,성령의 사람만 이해할 수 있습니다,주일예배,오정현 목사,고린도전서 2:10~16,2019-01-20,사랑의교회
193,여호와의 산에서 준비되리라,주일예배,오정현 목사,창세기 22:11~14,2019-01-06,사랑의교회
194,담을 뛰어넘나이다,주일예배,오정현 목사,여호수아 14:10~15,2018-12-30,사랑의교회
195,구세주의 탄생이 확실하도다,주일예배,오정현 목사,누가복음 2:10~11,2018-12-23,사랑의교회
196,지성소 신앙,주일예배,오정현 목사,에스겔 47:1~5,2018-10-28,사랑의교회
197,기도하는 손,주일예배,오정현 목사,출애굽기 17:8~16,2018-10-21,사랑의교회
198,영적 전쟁의 기초,주일예배,오정현 목사,창세기 14:1~16,2018-10-14,사랑의교회
199,혼돈에서 질서로,주일예배,오정현 목사,창세기 1:1~5,2018-10-07,사랑의교회
