,제목,예배,설교자,본문,날짜,교회
96,“날마다 더하게 하시니라”,주일예배,김운성 위임목사,사도행전 2:37~47,2018-11-11,영락교회
97,"<열매>인가, <나무>인가",주일예배,김운성 위임목사,마태복음 7:15~20,2018-11-4,영락교회
98,"“<영락>인가, <교회>인가”",주일예배,김운성 위임목사,에베소서 1:15~23,2018-10-28,영락교회
99,내가 깨달았도다,주일예배,김운성 위임목사,사도행전 10:24~35,2018-10-21,영락교회
100,사무엘은 죽었지만,주일예배,김운성 위임목사,사무엘상 25:1,2018-10-14,영락교회
101,"이새인가, 하나님인가",주일예배,김운성 위임목사,사무엘상 16:1~13,2018-10-7,영락교회
102,보시기에 심히 좋은 삶,주일예배,김운성 위임목사,창세기 1:24~31,2018-9-30,영락교회
103,“일어나서 함께 가자”,주일예배,김운성 위임목사,아가 2:10~14,2018-9-23,영락교회
104,“너희의 하나님이 되려고”,주일예배,김운성 위임목사,민수기 15:32~41,2018-9-16,영락교회
105,제자(11)：다시 시작하는 사람들,주일예배,김운성 위임목사,요한복음 21:1~17,2018-9-9,영락교회
106,제자(10)：그가 나를 단련하신 후에는,주일예배,김운성 위임목사,마태복음 8:18~27,2018-9-2,영락교회
107,제자(9)：따르는 사람들,주일예배,김운성 위임목사,누가복음 5:1~11,2018-8-26,영락교회
108,제자(8)：배를 대는 사람들,주일예배,김운성 위임목사,마가복음 6:30~44,2018-8-19,영락교회
109,제자(7)：죽이는 어부에서 살리는 어부로,주일예배,김운성 위임목사,마가복음 1:16~18,2018-8-12,영락교회
110,제자(6)：바닷가의 사람들,주일예배,김운성 위임목사,마태복음 4:18~22,2018-8-5,영락교회
111,제자(5)：사랑받는 사람들,주일예배,김운성 위임목사,요한복음 13:1,2018-7-29,영락교회
112,제자(4)：기도를 배우는 사람들,주일예배,김운성 위임목사,누가복음 11:1,2018-7-22,영락교회
113,제자(3)：말씀을 배우는 사람들,주일예배,김운성 위임목사,마태복음 13:36,2018-7-15,영락교회
114,제자(2)：참된 기쁨을 누리는 사람들,주일예배,김운성 위임목사,누가복음 10:17~20,2018-7-8,영락교회
115,제자(1)：산을 오르는 사람들,주일예배,김운성 위임목사,마태복음 5:1~3,2018-7-1,영락교회
116,제자(1)：산을 오르는 사람들,주일예배,김태균 목사,마태복음 5:1~3,2018-7-1,영락교회
117,"복된 성도, 복된 나라",주일예배,김운성 위임목사,잠언 11:10~11,2018-6-24,영락교회
118,우리에게 평화를 주소서,주일예배,김운성 위임목사,창세기 18:22~33,2018-6-17,영락교회
119,우리 가운데 계신 예수님,주일예배,김운성 위임목사,요한복음 1:19~28,2018-6-10,영락교회
120,사실을 넘어 진리로,주일예배,김운성 위임목사,요한복음 1:14~18,2018-6-3,영락교회
121,아이라 말하는 어른,주일예배,김운성 위임목사,열왕기상 3:4~10,2018-5-27,영락교회
122,한 부자의 가족사랑,주일예배,김운성 위임목사,누가복음 16:19~31,2018-5-20,영락교회
123,그 어머니들,주일예배,김운성 위임목사,민수기 13:1~16,2018-5-13,영락교회
124,아들에게 보여준 것,주일예배,김운성 위임목사,신명기 28:1~6,2018-5-6,영락교회
125,닭이 먼저입니다,주일예배,김운성 위임목사,시편 24:1~10,2018-4-29,영락교회
126,두 개의 시선으로 사는 법,주일예배,김운성 위임목사,사도행전 1:9~14,2018-4-22,영락교회
127,서울의 땅끝교회,주일예배,김운성 위임목사,사도행전 1:6~9,2018-4-15,영락교회
128,이렇게 해야 할 이유,주일예배,김운성 위임목사,사도행전 2:43~47,2018-4-8,영락교회
129,이제 우리가 할 일,주일예배,김운성 위임목사,누가복음 23:50~56,2018-4-1,영락교회
130,“나는 하나님의 아들이라”,주일예배,김운성 위임목사,마태복음 27:39~44,2018-3-25,영락교회
131,천국에서 큰 자(4)：예루살렘의 딸들,주일예배,김운성 위임목사,누가복음 23:27~28,2018-3-18,영락교회
132,천국에서 큰 자(3)：구레네 시몬,주일예배,김운성 위임목사,누가복음 23:26,2018-3-11,영락교회
133,천국에서 큰 자(2)：한 행악자,주일예배,김운성 위임목사,누가복음 23:26~43,2018-3-4,영락교회
134,천국에서 큰 자(1),주일예배,김운성 위임목사,마태복음 18:1~4,2018-2-25,영락교회
135,약한 자가 의지할 것,주일예배,김운성 후임 위임목사,고린도전서 2:1~5,2018-2-18,영락교회
136,사랑의 공동체,주일예배,이철신 위임목사,고린도전서 13:8~13,2018-2-11,영락교회
137,가장 큰 은사는 사랑,주일예배,이철신 위임목사,고린도전서 13:1~7,2018-2-4,영락교회
138,가장 큰 은사는 사랑,주일예배,최승도 목사,고린도전서 13:1~7,2018-2-4,영락교회
139,공동체의 승리,주일예배,이철신 위임목사,로마서 12:14~21,2018-1-28,영락교회
140,공동체의 승리,주일예배,황광용 목사,로마서 12:14~21,2018-1-28,영락교회
141,공동체 생활원리,주일예배,이철신 위임목사,로마서 12:9~13,2018-1-21,영락교회
142,질서 있고 화평한 교회,주일예배,이철신 위임목사,"고린도전서 14:33a, 시편 85:10~11",2018-1-7,영락교회
143,하나님의 은혜,주일예배,이철신 위임목사,베드로전서 5:7~11,2017-12-31,영락교회
144,성령으로 성육신,주일예배,이철신 위임목사,마태복음 1:18~25,2017-12-24,영락교회
145,언약의 성취,주일예배,이철신 위임목사,예레미야 33:14~22,2017-12-17,영락교회
146,평화로운 다스림,주일예배,이철신 위임목사,이사야 40:1~11,2017-12-10,영락교회
147,영락교회 신앙유산,주일예배,이철신 위임목사,히브리서 12:1~3,2017-12-3,영락교회
148,기도 응답,주일예배,이철신 위임목사,요한1서 5:13~21,2017-11-26,영락교회
149,세상을 이기는 믿음,주일예배,이철신 위임목사,요한1서 5:1~12,2017-11-19,영락교회
150,서로 사랑하자,주일예배,이철신 위임목사,요한1서 4:11~21,2017-11-12,영락교회
151,하나님은 사랑이시다,주일예배,이철신 위임목사,요한1서 4:7~10,2017-11-5,영락교회
152,바른 신앙,주일예배,이철신 위임목사,요한1서 4:1~6,2017-10-29,영락교회
153,사랑 실천,주일예배,이철신 위임목사,요한1서 3:13~24,2017-10-22,영락교회
154,하나님의 자녀,주일예배,이철신 위임목사,요한1서 3:1~12,2017-10-15,영락교회
155,주 안에 거하라,주일예배,이철신 위임목사,요한일서 2:18~29,2017-10-1,영락교회
156,승리하는 그리스도인,주일예배,이철신 위임목사,요한1서 2:12~17,2017-9-24,영락교회
