,제목,본문,날짜,설교자,예배
0,비접촉 인생의 믿음의 접촉’,마9:18-26,2020년09월13일,송태근,주일낮예배
1,원하시는 예배는 무엇인가?’,마9:9-17,2020년09월06일,송태근,주일낮예배
2,어느 것이 쉽겠느냐?’,마9:1-8,2020년08월30일,송태근,주일낮예배
3,돼지 떼의 죽음이 주는 메시지’,마8:28-34,2020년08월23일,송태근,주일낮예배
4,나를 따르라!’,마8:18-22,2020년08월16일,송태근,주일낮예배
5,산에서 내려 오시다’,마8:5-13,2020년08월09일,송태근,주일낮예배
6,열매로 알리라’,마7:15-20,2020년08월02일,송태근,주일낮예배
7,"개, 돼지는 누구인가?’",마7:1-6,2020년07월26일,송태근,주일낮예배
8,외식하지 말라’,마6:1-4,2020년07월19일,송태근,주일낮예배
9,'새로고침',이사야61:1-4,2020년07월12일,송태근,주일낮예배
10,'하나님의 시간표',신명기16:9-12,2020년07월05일,송태근,주일낮예배
11,'왜'에서 '무엇'으로,사도행전11:28-30,2020년06월28일,송태근,주일낮예배
12,더 나은 의’,마5:43-48,2020년06월21일,송태근,주일낮예배
13,폭풍 속의 가정’,마5:27-32,2020년06월14일,송태근,주일낮예배
14,완성하러 오신 예수님’,마5:17-20,2020년06월07일,송태근,주일낮예배
15,세상 속의 소금과 빛’,마5:13-16,2020년05월31일,송태근,주일낮예배
16,기독교인의 박해’,마5:10-12,2020년05월24일,송태근,주일낮예배
17,하나님의 아들’,마5:9,2020년05월17일,송태근,주일낮예배
18,청결함의 세 가지 조건’,마5:8,2020년05월10일,송태근,주일낮예배
19,긍휼과 십자가’,마5:7,2020년05월03일,송태근,주일낮예배
20,주리고 목마른 은혜’,마5:6,2020년04월26일,송태근,주일낮예배
21,온유와 땅’,마5:5,2020년04월19일,송태근,주일낮예배
22,'부활에 뿌리내린 삶',마가복음16:12-15,2020년04월12일,송태근,주일낮예배
23,유사품 애통을 조심하라’,마5:4,2020년04월05일,송태근,주일낮예배
24,초대받은 자의 특징’,마5:3,2020년03월29일,송태근,주일낮예배
25,새로운 복’,마5:1-12,2020년03월22일,송태근,주일낮예배
26,사람 낚는 어부들’,마4:18-22,2020년03월15일,송태근,주일낮예배
27,이방의 갈리리여!’,마4:12-16,2020년03월08일,송태근,주일낮예배
28,광야와 시험’,마4:1-11,2020년03월01일,송태근,주일낮예배
29,요한의 세례’,마3:1-9,2020년02월23일,송태근,주일낮예배
30,나사렛 사람’,마2:19-23,2020년02월16일,송태근,주일낮예배
31,'예루살렘의 소동',마2:16,2019년12월25일,송태근,주일낮예배
32,요셉의 의로움’,마1:18-25,2020년02월09일,송태근,주일낮예배
33,마태의 세 가지 전망’,마1:1-11,2020년02월02일,송태근,주일낮예배
34,'하나님의 뜻 세 가지',데살로니가전서5:16-18,2020년01월26일,송태근,주일낮예배
35,'사랑의 진실함을 증명하라',고린도후서8:9-15,2020년01월19일,송태근,주일낮예배
36,'이 세상과 저 세상',누가복음20:27-36,2020년01월12일,송태근,주일낮예배
37,'화평을 구하십시오',베드로전서3:8-12,2020년01월05일,송태근,주일낮예배
38,'세 가지 질문과 사명',요21:18-25,2019년12월29일,송태근,주일낮예배
39,'갈릴리의 약속',요21:1-11,2019년12월22일,송태근,주일낮예배
40,'부활의 세 가지 얼굴',요20:1-8,2019년12월15일,송태근,주일낮예배
41,'다 이루었다',요19:28-30,2019년12월08일,송태근,주일낮예배
42,"'레디,셋,고(Ready,Set,Go)'",요한복음17:18-19,2019년12월01일,송태근,주일낮예배
43,'빌라도의 재판',요19:10-11,2019년11월24일,송태근,주일낮예배
44,'감사의 네 가지 방법',시편95:1-5,2019년11월17일,송태근,주일낮예배
45,'세 개의 시선',요18:28-32,2019년11월10일,송태근,주일낮예배
46,'아버지께서 주신 잔',요18:10-14,2019년11월03일,송태근,주일낮예배
47,'나사렛 사람 예수',요18:1-9,2019년10월27일,송태근,주일낮예배
48,'거룩과 보내어짐',요17:9-13,2019년10월20일,송태근,주일낮예배
49,'예수님이 기도하시다',요17:1-8,2019년10월13일,송태근,주일낮예배
50,'담대함을 넘어 이김의 자리로!',요16:25-33,2019년09월22일,송태근,주일낮예배
51,'그 날이 오면!',요16:16-24,2019년09월15일,송태근,주일낮예배
52,'성령님과 제자들',요16:1-8,2019년09월08일,송태근,주일낮예배
53,'세상 속의 제자',요15:18-27,2019년09월01일,송태근,주일낮예배
54,'꼭 붙어있으라',요15:1-4,2019년08월25일,송태근,주일낮예배
55,'제자들의 네가지 질문',요13:36-14:4,2019년08월18일,송태근,주일낮예배
56,'끝까지 사랑하시니라(02)',요13:1-11,2019년08월11일,송태근,주일낮예배
57,'끝까지 사랑하시니라(01)',요13:1-11,2019년08월04일,송태근,주일낮예배
58,'두 가지 영광',요12:37-43,2019년07월28일,송태근,주일낮예배
59,'향유 냄새 가득한 집',요12:1-3,2019년07월21일,송태근,주일낮예배
60,'선교는 실패가 없다. 안 하는게 실패다',요11:45-47,2019년07월14일,송태근,주일낮예배
61,'나사로의 죽음과 부활의 현재성',요11:1-7,2019년07월07일,송태근,주일낮예배
62,'신의 아들',요10:31-42,2019년06월30일,송태근,주일낮예배
63,'나는 양의 문이라',요10:1-7,2019년06월23일,송태근,주일낮예배
64,'눈뜬 맹인',요9:1-7,2019년06월16일,송태근,주일낮예배
65,'매인 자유',요8:31-32,2019년06월09일,송태근,주일낮예배
66,'정죄와 용서를 넘어서',요8:1-9,2019년06월02일,송태근,주일낮예배
67,'생수의 강',요7:37-39,2019년05월26일,송태근,주일낮예배
68,'하나님의 공의란?',요7:14-24,2019년05월19일,송태근,주일낮예배
69,'올라가라',요7:1-9,2019년05월12일,송태근,주일낮예배
70,'표적을 본 까닭이 아니다',요6:16-21,2019년05월05일,송태근,주일낮예배
71,'시험하고자 하심',요6:1-6,2019년04월28일,송태근,주일낮예배
72,'생명의 부활',요5:24-29,2019년04월21일,송태근,주일낮예배
73,'베데스다와 38년 된 병자',요5:1-9,2019년04월14일,송태근,주일낮예배
74,'길 위에 서 있는 믿음',요4:43-54,2019년04월07일,송태근,주일낮예배
75,'예수님의 특별한 여행',요4:1-6,2019년03월31일,송태근,주일낮예배
76,'요한의 기쁨',요3:22-30,2019년03월24일,송태근,주일낮예배
77,'물과 성령으로 거듭나라',요3:1-5,2019년03월17일,송태근,주일낮예배
78,'예수님과 성전',요2:12-22,2019년03월10일,송태근,주일낮예배
79,'혼인잔치(02)',요2:1-11,2019년03월03일,송태근,주일낮예배
80,'혼인잔치(01)',요2:1-11,2019년02월24일,송태근,주일낮예배
81,'더 큰 일을 보리라',요1:43-51,2019년02월17일,송태근,주일낮예배
82,'세상 죄를 지고 가는 어린양',요1:29-34,2019년02월10일,송태근,주일낮예배
83,'왕의 대로를 준비하라',요1:19-23,2019년02월03일,송태근,주일낮예배
84,'신방(新房)을 차리다',요1:14-18,2019년01월27일,송태근,주일낮예배
85,'증언의 목적',요1:6-13,2019년01월20일,송태근,주일낮예배
86,'태초에 빛이',요1:1-5,2019년01월13일,송태근,주일낮예배
87,'요한 복음서를 기록한 목적',요20:30-31,2019년01월06일,송태근,주일낮예배
88,'하나님을 자랑하는 삶!',시편105:1-7,2018년12월30일,송태근,주일낮예배
89,'이웃을 섬김이란?',신명기22:8,2018년12월23일,송태근,주일낮예배
90,'공동체와 다음세대',신명기6:1-9,2018년12월16일,송태근,주일낮예배
91,'선교:하나님의 큰 그림',창세기12:1-3,2018년12월09일,송태근,주일낮예배
92,'고난의 신비',베드로전서4:12-19,2018년12월02일,송태근,주일낮예배
93,"'전도, 기쁨의 초대'",요한복음4:28-30,2018년11월25일,송태근,주일낮예배
94,'감사와 헌금',고린도후서9:1-2,2018년11월18일,송태근,주일낮예배
95,'사랑',고린도전서13:4-8,2018년11월11일,송태근,주일낮예배
96,'성찬의 일상적 의미',고린도전서10:16-17,2018년11월04일,송태근,주일낮예배
97,'일상 속에서의 성령 충만',에베소서5:15-21,2018년10월28일,송태근,주일낮예배
98,'기도는 대안이 아니라 전부이다',느헤미야1:4-5,2018년10월21일,송태근,주일낮예배
99,'말씀안에 거하기',사무엘상15:10-16,2018년10월14일,송태근,주일낮예배
100,'세례와 공동체',마태복음28:18-20,2018년10월07일,송태근,주일낮예배
101,'회개',누가복음3:7-15,2018년09월30일,송태근,주일낮예배
102,"'교회, 새로운 시작'",창세기35:1-5,2018년09월23일,송태근,주일낮예배
103,'세 가지 대조',왕상16:1-6,2018년09월16일,송태근,주일낮예배
104,'말씀과 같이 되다',왕상15:24-30,2018년09월09일,송태근,주일낮예배
105,'아사왕의 명과 암',왕상15:9-15,2018년09월02일,송태근,주일낮예배
106,'아비얌 왕의 그늘',왕상15:1-8,2018년08월26일,송태근,주일낮예배
107,'금방패를 대신한 놋방패',왕상14:21-31,2018년08월19일,송태근,주일낮예배
108,'여로보암의 아들의 죽음',왕상14:1-16,2018년08월12일,송태근,주일낮예배
109,'그가 어느 길로 가더냐?',왕상13:12,2018년07월29일,송태근,주일낮예배
110,'말씀이 사건이 되다(3)',왕상13:1-10,2018년07월22일,송태근,주일낮예배
111,'말씀이 사건이 되다(2)',왕상12:1-11,2018년07월15일,송태근,주일낮예배
112,'말씀이 사건이 되다(1)',왕상11:26-36,2018년07월08일,송태근,주일낮예배
113,'로마로 가야하는 세가지 이유',로마서1:8-17,2018년07월01일,송태근,주일낮예배
114,'에베소에 나타난 하나님의 부흥',사도행전19:17-20,2018년06월24일,송태근,주일낮예배
115,'하나님이 말씀하시는 부흥의 질서',고린도전서12:14-27,2018년06월17일,송태근,주일낮예배
116,'하나님의 부탁',고린도후서5:17-21,2018년06월10일,송태근,주일낮예배
117,'하나님의 부흥을 사모하라',하박국3:2,2018년06월03일,송태근,주일낮예배
118,'종말을 사는 성도의 기도',약5:13-20,2018년05월27일,송태근,주일낮예배
119,'세가지 선물',로마서5:1-11,2018년05월20일,송태근,주일낮예배
120,'부한 자와 의인',약5:1-6,2018년05월06일,송태근,주일낮예배
121,'허탄한 자랑',약4:13-17,2018년04월29일,송태근,주일낮예배
122,'싸움과 다툼의 근원',약4:1-10,2018년04월22일,송태근,주일낮예배
123,'참 지혜의 열매',약3:13-18,2018년04월15일,송태근,주일낮예배
124,'혀의 두가지 위력',약3:1-6,2018년04월08일,송태근,주일낮예배
125,'부활의 권력',빌립보서3:10-12,2018년04월01일,송태근,주일낮예배
126,'네 믿음을 보여 봐!',약2:14-18,2018년03월25일,송태근,주일낮예배
127,'차별의 죄',약2:1-7,2018년03월18일,송태근,주일낮예배
128,'세가지 명령',약1:19-27,2018년03월11일,송태근,주일낮예배
129,'무대 뒤',약1:12-18,2018년03월04일,송태근,주일낮예배
130,'부함과 가난함의 본질',약1:9-11,2018년02월25일,송태근,주일낮예배
131,'두 마음',약1:5-8,2018년02월18일,송태근,주일낮예배
132,'인간의 세가지 조건',약1:2-4,2018년02월11일,송태근,주일낮예배
133,'흩어진 나그네',약1:1,2018년02월04일,송태근,주일낮예배
134,'영문 밖으로 나아갑시다',히13:12-13,2018년01월28일,송태근,주일낮예배
135,'흔들리지 않는 나라',히12:28-29,2018년01월21일,송태근,주일낮예배
136,'세가지 권면',히12:14-17,2018년01월14일,송태근,주일낮예배
137,'징계의 은혜',히12:5-11,2018년01월07일,송태근,주일낮예배
138,'경주의 세가지 원리',히12:1-5,2017년12월31일,송태근,주일낮예배
139,'예수님의 탄생(1)',마태복음1:16-17,2017년12월24일,송태근,주일낮예배
140,'아브라함의 부름과 시험',히11:8-16,2017년12월17일,송태근,주일낮예배
141,"'우월한 원리, 믿음!'",히11:1-3,2017년12월10일,송태근,주일낮예배
142,'구경거리',히10:32-39,2017년12월03일,송태근,주일낮예배
143,'소망을 굳게 잡으라!',히10:23-25,2017년11월26일,송태근,주일낮예배
144,'춤추게 하시는 하나님',시편30:11,2017년11월19일,송태근,주일낮예배
145,'한 몸을 예비하심',히10:8-10,2017년11월12일,송태근,주일낮예배
146,'피',히9:23-28,2017년11월05일,송태근,주일낮예배
147,'개혁할 때까지!',히9:1-10,2017년10월29일,송태근,주일낮예배
148,'더 좋은 언약의 네 가지 특징',히8:6-13,2017년10월22일,송태근,주일낮예배
149,'더 좋은 언약',히8:1-6,2017년10월15일,송태근,주일낮예배
150,'하나님의 맹세',히7:20-28,2017년10월08일,송태근,주일낮예배
151,'대적자들!',왕상11:1-8,2017년10월01일,송태근,주일낮예배
152,'스바 여왕의 방문',왕상10:1-8,2017년09월24일,송태근,주일낮예배
153,'솔로몬의 두 개의 프레임',왕상9:1-10,2017년09월17일,송태근,주일낮예배
154,'솔로몬의 연설',왕상8:12-21,2017년09월10일,송태근,주일낮예배
155,'솔로몬의 성전 건축(4)',왕상8:1-11,2017년09월03일,송태근,주일낮예배
156,'솔로몬의 성전 건축(3)',왕상7:51,2017년08월27일,송태근,주일낮예배
157,'솔로몬의 성전 건축(2)',왕상6:11-13,2017년08월20일,송태근,주일낮예배
158,'솔로몬의 성전 건축(1)',왕상5:1-6,2017년08월13일,송태근,주일낮예배
159,'솔로몬 왕국의 조직이 갖는 영적인 의미',왕상4:1-6,2017년08월06일,송태근,주일낮예배
160,'솔로몬의 재판에 담긴 세가지 의미',왕상3:16-28,2017년07월30일,송태근,주일낮예배
161,'솔로몬의 꿈',왕상3:5-14,2017년07월23일,송태근,주일낮예배
162,'왜 솔로몬인가?',왕상2:1-9,2017년07월16일,송태근,주일낮예배
163,'수넴 여자 아비삭',왕상1:1-10,2017년07월09일,송태근,주일낮예배
164,'맥추절 속의 하나님의 마음',출애굽기23:16,2017년07월02일,송태근,주일낮예배
165,'사탄은 뻔한 싸움하지 않는다',마태복음6:9-13,2017년06월25일,송태근,주일낮예배
166,'용 서',마태복음6:9-13,2017년06월18일,송태근,주일낮예배
167,'일용할 양식',마태복음6:9-13,2017년06월11일,송태근,주일낮예배
168,'위험한 기도',마태복음6:9-13,2017년06월04일,송태근,주일낮예배
169,'이미와 아직',마태복음6:9-13,2017년05월28일,송태근,주일낮예배
170,'기도의 순서를 뒤집어라!',마태복음6:9,2017년05월14일,송태근,주일낮예배
171,'제자들은 왜 기도를 가르쳐 달라고 했을까?',누가복음11:1-4,2017년05월07일,송태근,주일낮예배
172,'온전함으로 나아가는 방법!',히브리서7:11-19,2017년04월30일,송태근,주일낮예배
173,'멜기세덱과 그리스도',히브리서7:1-10,2017년04월23일,송태근,주일낮예배
174,'빈 무덤의 목격자',요한복음20:1-9,2017년04월16일,송태근,주일낮예배
175,'그리스도를 다시 십자가에 못박지 말라',히브리서6:4-6,2017년04월09일,송태근,주일낮예배
176,'의의 말씀을 경험하라',히브리서5:11-14,2017년04월02일,송태근,주일낮예배
177,'대제사장직의 조건',히브리서5:1-10,2017년03월26일,송태근,주일낮예배
178,'때를 따라 돕는 은혜',히브리서4:14-16,2017년03월19일,송태근,주일낮예배
179,'왜 다시 말씀인가?',히브리서4:12-13,2017년03월12일,송태근,주일낮예배
180,'남은 안식',히브리서4:1-10,2017년03월05일,송태근,주일낮예배
181,'끝까지 붙잡으라',히브리서3:7-14,2017년02월26일,송태근,주일낮예배
182,'예수를 깊이 생각하라',히브리서3:1-6,2017년02월19일,송태근,주일낮예배
183,'그리스도의 왕권 성취를 위한 3단계',히브리서2:5-9,2017년02월12일,송태근,주일낮예배
184,'권면과 염려',히브리서2:1-4,2017년02월05일,송태근,주일낮예배
185,'천사와 아들',히브리서1:5-14,2017년01월29일,송태근,주일낮예배
186,'아들로 말씀하신 하나님(2)',히브리서1:1-4,2017년01월22일,송태근,주일낮예배
187,'아들로 말씀하신 하나님(1)',히브리서1:1-4,2017년01월15일,송태근,주일낮예배
188,'말씀하신 하나님',히브리서1:1-3,2017년01월08일,송태근,주일낮예배
189,'바벨탑의 의미',창세기11:1-9,2017년01월01일,송태근,주일낮예배
190,'여호와의 열심이 이룬다',이사야9:6-7,2016년12월25일,송태근,주일낮예배
191,'톨레도트<족보>',"창세기10:1-5,32",2016년12월18일,송태근,주일낮예배
192,'노아와 세 아들',창세기9:20-29,2016년12월11일,송태근,주일낮예배
193,'내 언약',창세기9:11-13,2016년12월04일,송태근,주일낮예배
194,'기억하시는 하나님',창세기8:1-12,2016년11월27일,송태근,주일낮예배
195,'무엇으로 보답할꼬?',데살로니가전서3:7-9,2016년11월20일,송태근,주일낮예배
196,'방주로 들어가라',창세기7:11-16,2016년11월13일,송태근,주일낮예배
197,'육체가 된 인간',창세기6:1-8,2016년11월06일,송태근,주일낮예배
198,'동행',창세기5:21-24,2016년10월30일,송태근,주일낮예배
199,'가인의 후예',창세기4:16-26,2016년10월23일,송태근,주일낮예배
200,'두 개의 시선',마가복음14:66-72,2016년10월16일,송태근,주일낮예배
201,'마땅치 않은 일',사도행전6:1-7,2016년10월09일,송태근,주일낮예배
202,'옳지 못한 일',출애굽기18:13-18,2016년10월02일,송태근,주일낮예배
203,'가인의 표',창세기4:9-15,2016년09월25일,송태근,주일낮예배
204,'아벨의 제사',창세기4:1-8,2016년09월18일,송태근,주일낮예배
205,'사탄의 세 가지 특징',창세기3:8-14,2016년09월11일,송태근,주일낮예배
206,'여자와 뱀',창세기3:1-7,2016년09월04일,송태근,주일낮예배
207,'돕는 배필',창세기2:15-18,2016년08월28일,송태근,주일낮예배
208,'에덴의 창설',창세기2:8-14,2016년08월21일,송태근,주일낮예배
209,'안식으로..',창세기2:1-3,2016년08월14일,송태근,주일낮예배
210,'왕권!',창세기1:24-31,2016년08월07일,송태근,주일낮예배
211,"'혼돈, 공허, 흑암'",창세기1:2-5,2016년07월31일,송태근,주일낮예배
212,"'역사의 주어, 하나님이..'",창세기1:1,2016년07월24일,송태근,주일낮예배
213,'하나님의 전신갑주를 입으라(03)',에베소서6:10-17,2016년07월17일,송태근,주일낮예배
214,'하나님의 전신갑주를 입으라(02)',에베소서6:10-17,2016년07월10일,송태근,주일낮예배
215,'만나와 첫 열매',출애굽기23:16,2016년07월03일,송태근,주일낮예배
216,'하나님의 전신갑주를 입으라(01)',에베소서6:10-17,2016년06월26일,송태근,주일낮예배
217,'교회의 세 가지 사명',마태복음9:35,2016년06월19일,송태근,주일낮예배
218,'교회를 위한 바울의 기도',에베소서3:14-19,2016년06월12일,송태근,주일낮예배
219,'새벽을 깨워야하는 이유!',시편57:6-8,2016년06월05일,송태근,주일낮예배
220,'이처럼 사랑하신 하나님',요한복음3:16,2016년05월29일,송태근,주일낮예배
221,'교회를 향한 세 가지 부탁',에베소서4:1-6,2016년05월15일,송태근,주일낮예배
222,'네 어머니라',요한복음19:25-27,2016년05월08일,송태근,주일낮예배
223,'데살로니가 교회의 소문',데살로니가전서1:1-8,2016년05월01일,송태근,주일낮예배
224,'새 포도주는 새 부대에',마태복음9:17,2016년04월24일,송태근,주일낮예배
225,'교회는 그리스도의 몸',고린도전서12:27,2016년04월10일,송태근,주일낮예배
226,'첫 교회의 인상',사도행전2:42-47,2016년04월03일,송태근,주일낮예배
227,'위대한 아침',누가복음24:1-12,2016년03월27일,송태근,주일낮예배
228,'첫 교회',사도행전2:1-4,2016년03월20일,송태근,주일낮예배
229,'교회 성장을 넘어서',요한복음2:19,2016년03월13일,송태근,주일낮예배
230,'예수의 흔적을 가지라'(36:01),갈6:17-18,2016년03월06일,송태근,주일낮예배
231,'십자가 외에는 자랑할 것이 없다'(36:51),갈6:11-16,2016년02월28일,송태근,주일낮예배
232,'그대로 거두리라'(35:54),갈6:7-10,2016년02월21일,송태근,주일낮예배
233,"""그리스도의 법""(37:21)",갈6:2,2016년02월14일,송태근,주일낮예배
234,"""육체의 일, 성령의 열매""(34:37)",갈5:16-24,2016년02월07일,송태근,주일낮예배
235,"""종의 멍에를 매지 말라""(33:37)",갈5:1,2016년01월31일,송태근,주일낮예배
236,"""두 여자""(37:01)",갈4:21-28,2016년01월24일,송태근,주일낮예배
237,"""무엇을 위한 열심인가?""(43:14)",갈4:8-11,2016년01월17일,송태근,주일낮예배
238,"""유업을 이을 자""(44:08)",갈4:1-7,2016년01월10일,송태근,주일낮예배
239,"""오래된 미래, 씨""(42:13)",갈3:15-22,2016년01월03일,송태근,주일낮예배
240,"""나무에 달린 자 예수!""(37:01)",갈3:12-14,2015년12월27일,송태근,주일낮예배
241,"""어리석은 사람들의 기초""(36:08)",갈3:1-5,2015년12월20일,송태근,주일낮예배
242,"""그리스도의 믿음""(39:07)",갈2:17-21,2015년12월13일,송태근,주일낮예배
243,"""그리스도인의 자유(3)""(37:17)",갈2:11-16,2015년12월06일,송태근,주일낮예배
244,"""내가 네게 보여줄 땅으로 가라""(36:28)",창세기12:1,2015년11월29일,송태근,주일낮예배
245,"""그리스도인의 자유(2)""(41:31)",갈2:1-5,2015년11월22일,송태근,주일낮예배
246,"""그 이름을 자랑하라""(36:14)",시편105:1-7,2015년11월15일,송태근,주일낮예배
247,"""그리스도인의 자유""(1) (32:24)",갈2:1-5,2015년11월08일,송태근,주일낮예배
248,"""아라비아의 시간""(35:17)",갈1:17-24,2015년11월01일,송태근,주일낮예배
249,"""은혜로 나를 부르심""(37:15)",갈1:11-17,2015년10월25일,송태근,주일낮예배
250,"""다른 복음은 없습니다(2) - 사람을 기쁘게 하랴!""(41:52)",갈1:6-10,2015년10월18일,송태근,주일낮예배
251,"""다른 복음은 없습니다(1) - 사도권""(39:45)",갈1:1-10,2015년10월11일,송태근,주일낮예배
252,"""치료하는 광선""(40:23)",말라기4:1-6,2015년10월04일,송태근,주일낮예배
253,"""그리스도와 십일조""(37:02)",말라기3:7-12,2015년09월27일,송태근,주일낮예배
254,"""언약의 사자""(39:28)",말라기3:1-6,2015년09월20일,송태근,주일낮예배
255,"""경건한 자손""(39:50)",말라기2:10-16,2015년09월13일,송태근,주일낮예배
256,"""레위와 세운 언약""(32:32)",말라기2:1-9,2015년09월06일,송태근,주일낮예배
257,"""문제는 예배다""(33:42)",말라기1:6-11,2015년08월30일,송태근,주일낮예배
258,"""내가 너희를 사랑하였노라""(38:47)",말라기1:1-5,2015년08월23일,송태근,주일낮예배
259,"""하나님의 질문""(44:04)",학개 2:10-15,2015년08월16일,송태근,주일낮예배
260,"""나중 영광의 크기""(41:14)",학개2:1-9,2015년08월09일,송태근,주일낮예배
261,"""감동""(33:58)",학개1:12-15,2015년08월02일,송태근,주일낮예배
262,"""자기 행위를 살피라""(35:53)",학개1:1-11,2015년07월26일,송태근,주일낮예배
263,"""하나님은 나의 힘""(33:19)",하박국3:17-19,2015년07월19일,송태근,주일낮예배
264,"""놀라운 소문!""(42:28)",하박국3:1-4,2015년07월12일,송태근,주일낮예배
265,"""피로 세운 보증(맥추절)""(40:15)",신명기16:9-12,2015년07월05일,송태근,주일낮예배
266,"""성루에 서서""(34:27)",하박국 2:1-4,2015년06월28일,송태근,주일낮예배
267,"""왜?""(전체실황)",하박국1:12-17,2015년06월21일,송태근,주일낮예배
268,"""하나님을 향한 세 가지 질문""(전체실황)",하박국1:1-4,2015년06월14일,송태근,주일낮예배
269,"""내가 여기 있나이다. 나를 보내소서""(전체실황)",이사야6:1-8,2015년06월07일,송태근,주일낮예배
270,"""탐내지 말라""(38:20)",출애굽기20:17,2015년05월24일,송태근,주일낮예배
271,"""사실과 진실""(36:12)",출애굽기20:16,2015년05월17일,송태근,주일낮예배
272,"""도둑질하지 말라""(41:37)",출애굽기20:15,2015년05월10일,송태근,주일낮예배
273,"""간음하지 말라""(38:21)",출애굽기20:14,2015년05월03일,송태근,주일낮예배
274,"""살인의 추억""(38:54)",출애굽기20:13,2015년04월26일,송태근,주일낮예배
275,"""옳은 일""(40:16)",출애굽기20:12,2015년04월19일,송태근,주일낮예배
276,"""나만 바라 봐(2)""(40:48)",출애굽기20:8-11,2015년04월12일,송태근,주일낮예배
277,"""예수님의 7가지 표적 07""(40:19)",요한복음11:17-23,2015년04월05일,송태근,주일낮예배
278,"""나만 바라 봐(1)""(25:13)",출애굽기20:8-11,2015년03월29일,송태근,주일낮예배
279,"""헛된 고백""(35:15)",출애굽기20:7,2015년03월22일,송태근,주일낮예배
280,"""질투""(38:23)",출애굽기20:4-6,2015년03월15일,송태근,주일낮예배
281,"""너와 나 사이에""(30:46)",출애굽기20:3,2015년03월08일,송태근,주일낮예배
282,"""십계명은 무엇인가?""(41:27)",출애굽기20:1-2,2015년03월01일,송태근,주일낮예배
283,"""세 가지 부탁""(34:02)",롬16:17-20,2015년02월22일,송태근,주일낮예배
284,"""문안하라""(38:26)",롬16:1-8,2015년02월15일,송태근,주일낮예배
285,"""거룩한 열망""(29:38)",롬15:14-21,2015년02월08일,송태근,주일낮예배
286,"""먹을 만한 믿음""(38:26)",롬14:1-4,2015년02월01일,송태근,주일낮예배
287,"""빛의 갑옷을 입자""(41:06)",롬13:11-14,2015년01월25일,송태근,주일낮예배
288,"""신령한 은사(선물)""(37:08)",롬12:6-13,2015년01월18일,송태근,주일낮예배
289,"""한 몸""(46:30)",롬12:3-5,2015년01월11일,송태근,주일낮예배
290,"""산 제사""(39:42)",롬12:1-2,2015년01월04일,송태근,주일낮예배
291,"""측량할 수 없는 은혜""(37:54)",롬11:33-36,2014년12월28일,송태근,주일낮예배
292,"""이스라엘의 회복""(33:08)",롬11:1-5,2014년12월21일,송태근,주일낮예배
293,"""자기 의와 하나님의 의""(41:14)",롬10:1-7,2014년12월14일,송태근,주일낮예배
294,"""남은 자""(39:45)",롬9:27-29,2014년12월07일,송태근,주일낮예배
295,"""긍휼히 여길 자를 긍휼히 여김""(39:47)",롬9:14-18,2014년11월30일,송태근,주일낮예배
296,"""넉넉히 이김""(40:19)",롬8:37-39,2014년11월23일,송태근,주일낮예배
297,"""절대 감사""(35:12)",시편107:1-3,2014년11월16일,송태근,주일낮예배
298,"""말할 수 없는 탄식""(28:36)",롬8:26-30,2014년11월09일,송태근,주일낮예배
299,"""아들과 아버지""(33:50)",롬8:3-11,2014년11월02일,송태근,주일낮예배
300,"""율법과 남편""(37:10)",롬7:1-6,2014년10월26일,송태근,주일낮예배
301,"""누구의 종인가?""(28:11)",롬6:15-23,2014년10월19일,송태근,주일낮예배
302,"""새생명 가운데 행하라""(37:37)",롬6:1-5,2014년10월12일,송태근,주일낮예배
303,"""두 인류""(33:51)",롬5:12-21,2014년10월05일,송태근,주일낮예배
304,"""화평을 누리자""(39:41)",롬5:1-11,2014년09월28일,송태근,주일낮예배
305,"""하나님께서 의로 여기심""(42:23)",롬4:1-10,2014년09월21일,송태근,주일낮예배
306,"""하나님의 한 의가 나타남""(42:17)",롬3:19-24,2014년09월14일,송태근,주일낮예배
307,"""하나님이 이기신다""(38:47)",롬3:1-8,2014년09월07일,송태근,주일낮예배
308,"""세 가지 자랑""(44:31)",롬2:8-16,2014년08월31일,송태근,주일낮예배
309,"""진리대로 되는 심판""(42:58)",롬2:1-11,2014년08월24일,송태근,주일낮예배
310,"""붙잡히는 것이 은혜다""(39:20)",롬1:24-32,2014년08월17일,송태근,주일낮예배
311,"""하나님이 옳습니다""(45:12)",롬1:16-17,2014년08월10일,송태근,주일낮예배
312,"""보고싶은 이유""(38:32)",롬1:8-17,2014년08월03일,송태근,주일낮예배
313,"""성경의 약속""(46:57) 1",롬1:1-7,2014년07월27일,송태근,주일낮예배
314,"""하나님의 복음""(44:57)",롬1:1-7,2014년07월20일,송태근,주일낮예배
315,"""다시 들어야 하는 복음""(35:22)",롬1:1-7,2014년07월13일,송태근,주일낮예배
316,"""매이지 않는 인생""",행28:23-31,2014년07월06일,송태근,주일낮예배
317,"""아! 로마""",행28:11-16,2014년06월29일,송태근,주일낮예배
318,"""섬 사람들""",행28:1-6,2014년06월22일,송태근,주일낮예배
319,"""성도가 사는 힘""",행27:22,2014년06월15일,송태근,주일낮예배
320,"""사소한 것에 목숨을 걸라""",행25:13-16,2014년06월08일,송태근,주일낮예배
