,제목,예배,설교자,본문,날짜,교회
624,우리를 향한 예수님의 긍휼하심,주일예배,김지철 목사,막 6:30 ~ 34,2009-07-19,소망교회
625,사람의 말과 하나님의 말씀,주일예배,김지철 목사,암 7:10 ~ 17,2009-07-12,소망교회
626,약함과 강함의 신앙 변증법,주일예배,김지철 목사,고후 12:1 ~ 10,2009-07-05,소망교회
627,기복 신앙에서 인격 신앙으로!,주일예배,김지철 목사,막 5:25 ~ 34,2009-06-28,소망교회
628,만군의 여호와의 이름으로!,주일예배,김지철 목사,삼상 17:41 ~ 49,2009-06-21,소망교회
629,하나님의 선택 기준,주일예배,김지철 목사,삼상 15:34 ~ 16:13,2009-06-14,소망교회
630,사랑에 빚진 사람들,주일예배,김지철 목사,롬 8:12 ~ 17,2009-06-07,소망교회
631,이 뼈들이 능히 살겠느냐?,주일예배,김지철 목사,겔 37:1~14,2009-05-31,소망교회
632,실패와 회복,주일예배,김지철 목사,행 1:15~20,2009-05-24,소망교회
633,85세 하나님의 청년,주일예배,김지철 목사,수 14:6~15,2009-05-17,소망교회
634,하나님 같은 부모님,주일예배,김지철 목사,시 103:8~14,2009-05-10,소망교회
635,나와 함께 춤추시는 분,주일예배,김지철 목사,시 23:1 ~ 6,2009-05-03,소망교회
636,소망을 가진 자의 정결함,주일예배,김지철 목사,요일 3:1 ~ 8,2009-04-26,소망교회
637,큰 은혜를 받은 공동체,주일예배,김지철 목사,행 4:32 ~ 37,2009-04-19,소망교회
638,부활의 능력,주일예배,김지철 목사,행 10:34~43,2009-04-12,소망교회
639,우리를 놀라게 하시는 하나님,주일예배,김지철 목사,시 118:19~29,2009-04-05,소망교회
640,탐욕은 곧 우상숭배 - 제10계명 -,주일예배,김지철 목사,출 20:17,2009-03-29,소망교회
641,거짓 증거하지 말라 - 제9계명 -,주일예배,김지철 목사,출 20:16,2009-03-22,소망교회
642,재물의 노예인가? 청지기인가 ? 제8계명,주일예배,김지철 목사,출 20:15,2009-03-20,소망교회
643,절제된 즐거움 - 제7계명-,주일예배,김지철 목사,출 20:14,2009-03-08,소망교회
644,한 사람의 나라사랑,주일예배,김지철 목사,렘 5:1~6,2009-03-01,소망교회
645,내 속에 있는 살인자 - 제6계명-,주일예배,김지철 목사,출 20:13,2009-02-22,소망교회
646,하나님 경외와 부모 공경 - 제5계명 -,주일예배,김지철 목사,출 20:12,2009-02-15,소망교회
647,거룩한 안식 - 제4계명 -,주일예배,김지철 목사,출 20:8~11,2009-02-08,소망교회
648,하나님의 영예를 위하여! - 제3계명 -,주일예배,김지철 목사,출 20:7,2009-02-01,소망교회
649,너를 위한 우상을 만들지 말라! 제2계명,주일예배,김지철 목사,출 20:2~6,2009-01-25,소망교회
650,너는 오직 나를 위하여! - 제1계명 -,주일예배,김지철 목사,신 5:1 ~ 7,2009-01-18,소망교회
651,자유와 해방의 하나님,주일예배,김지철 목사,출 20:1 ~ 3,2009-01-11,소망교회
652,하나님의 비밀을 아는 그리스도인,주일예배,김지철 목사,엡 1:3 ~ 12,2009-01-04,소망교회
653,"나의 헵시바, 나의 쁄라",주일예배,김지철 목사,사 62:1 ~ 5,2008-12-28,소망교회
654,하나님이 너를 위하여!,주일예배,김지철 목사,삼하 7:1~13,2008-12-21,소망교회
655,나의 기뻐하는 뜻을 이루며,주일예배,김지철 목사,사 55:10 ~ 13,2008-12-14,소망교회
656,의와 화평이 입맞추다,주일예배,김지철 목사,시 85 : 7~13,2008-12-07,소망교회
657,침묵 속에 임하시는 하나님,주일예배,김지철 목사,사 64:5~12,2008-11-30,소망교회
658,'마음의 눈'을 밝히시는 하나님,주일예배,김지철 목사,엡 1:15~23,2008-11-23,소망교회
659,하나님의 지극한 은혜에 감사하라,주일예배,김지철 목사,고후 9:6~15,2008-11-16,소망교회
660,섬길 자를 오늘 택하라,주일예배,김지철 목사,수 24:14~18,2008-11-09,소망교회
661,오늘을 사는 지혜,주일예배,김지철 목사,전 7:8~14,2008-11-02,소망교회
662,하나님을 기쁘시게!,주일예배,김지철 목사,살전 2:1~8,2008-10-26,소망교회
663,“내가 친히 가리라”,주일예배,김지철 목사,출 33:12~23,2008-10-19,소망교회
664,하나님이 주신 기회,주일예배,김지철 목사,마 22:1~14,2008-10-12,소망교회
665,주님께 열납되기를!,주일예배,김지철 목사,시 19:1~14,2008-10-05,소망교회
666,뉘우침과 순종,주일예배,김지철 목사,마 21:23~32,2008-09-28,소망교회
667,“네가 성내는 것이 옳으냐?”,주일예배,김지철 목사,욘 3:10~4:11,2008-09-21,소망교회
668,함께 즐거워하라,주일예배,김지철 목사,신 16:13~17,2008-09-14,소망교회
669,어린양의 피,주일예배,김지철 목사,출 12:5~14,2008-09-07,소망교회
670,자기 부인의 역설,주일예배,김지철 목사,마 16:21~28,2008-08-31,소망교회
671,광야가 하나님의 동산으로!,주일예배,김지철 목사,사 51:1~6,2008-08-24,소망교회
672,복 주기를 원하시는 하나님,주일예배,김지철 목사,시 67:1~7,2008-08-17,소망교회
673,지도자의 영적 위기,주일예배,김지철 목사,왕상 19:9~18,2008-08-10,소망교회
674,어찌하여 수고하느냐?,주일예배,김지철 목사,사 55:1~5,2008-08-03,소망교회
675,하나님 앞에서:Coram Deo,주일예배,김지철 목사,전 5:1~7,2008-07-27,소망교회
676,너희는 누구냐?(2부),주일예배,주승중 목사,행 19:11~16,2008-07-20,소망교회
677,예배를 어떻게 드려야 하는가?(3부),주일예배,김중은 목사,"레1:1~3,요4:22~24,롬12:1~2,히13:15~16",2008-07-20,소망교회
678,듣고 깨닫는 사람,주일예배,김지철 목사,마 13:18~23,2008-07-13,소망교회
679,시대를 향한 예수님의 탄식,주일예배,김지철 목사,눅 7:29~35,2008-07-06,소망교회
680,하나님의 시험에 합격한 사람,주일예배,김지철 목사,창 22:1~12,2008-06-29,소망교회
681,말씀 때문에 불붙는 마음,주일예배,김지철 목사,렘 20:7~13,2008-06-22,소망교회
682,나를 웃게 하시는 하나님,주일예배,김지철 목사,창 21:1~7,2008-06-15,소망교회
683,거짓 회개와 참된 회개,주일예배,김지철 목사,호 5:15~6:6,2008-06-08,소망교회
684,네가 발로 밟는 곳마다,주일예배,김지철 목사,신 11:22~25,2008-06-01,소망교회
685,"""내 영혼이 젖 뗀 아이와 같도다""",주일예배,김지철 목사,시 131:1~3,2008-05-25,소망교회
686,청년보다 더 청년이신 하나님,주일예배,김지철 목사,사 40:27~31,2008-05-18,소망교회
687,"아버지, 사랑합니다",주일예배,김지철 목사,호 11:1~4,2008-05-11,소망교회
688,"내 아들아, 내가 무엇을 말하랴?",주일예배,김지철 목사,잠 31:1~9,2008-05-04,소망교회
689,진리의 영을 받은 사람들,주일예배,김지철 목사,요 14:16~21,2008-04-27,소망교회
690,세상의 소망인 교회,주일예배,김지철 목사,벧전 2:4~10,2008-04-20,소망교회
691,나의 목자이신 하나님,주일예배,김지철 목사,시 23:1~6,2008-04-13,소망교회
692,듣고 마음에 찔려,주일예배,김지철 목사,행 2:36~42,2008-04-06,소망교회
693,"주님은 나의 복, 나의 즐거움",주일예배,김지철 목사,시 16:1~11,2008-03-30,소망교회
694,놀라우신 주님의 은혜,주일예배,김지철 목사,골 3:1~4,2008-03-23,소망교회
695,상처입은 치유자,주일예배,김지철 목사,사 50:4~9,2008-03-16,소망교회
696,생각을 성령님께 맡겨라,주일예배,김지철 목사,롬 8:5~9,2008-03-09,소망교회
697,중심을 보시는 하나님,주일예배,김지철 목사,삼상 16:6~13,2008-03-02,소망교회
698,의를 위하여 박해를 받는 자의 복,주일예배,김지철 목사,마 5:10~12,2008-02-24,소망교회
699,화평하게 하는 자의 복,주일예배,김지철 목사,마 5:9,2008-02-17,소망교회
700,마음이 청결한 자의 복,주일예배,김지철 목사,마 5:8,2008-02-10,소망교회
701,긍휼히 여기는 자의 복,주일예배,김지철 목사,마 5:7,2008-02-03,소망교회
702,의에 목마른 자의 복,주일예배,김지철 목사,마 5:6,2008-01-27,소망교회
703,온유한 자의 복,주일예배,김지철 목사,마 5:1~5,2008-01-20,소망교회
704,애통하는 자의 복,주일예배,김지철 목사,마 5:1~4,2008-01-13,소망교회
705,마음이 가난한 자의 복,주일예배,김지철 목사,마 5:1~3,2008-01-06,소망교회
706,여호와를 기뻐하라,주일예배,김지철 목사,시 37:1~6,2007-12-30,소망교회
707,위로하라 내 백성을!,주일예배,김지철 목사,사 40:1~5,2007-12-23,소망교회
708,하나님이 세우신 지도자,주일예배,김지철 목사,출 3:7~12,2007-12-16,소망교회
709,복 있는 사람,주일예배,김지철 목사,시 1:1~6,2007-12-09,소망교회
710,작은 자를 찾아오신 주님,주일예배,김지철 목사,시 68:3~6,2007-12-02,소망교회
711,신앙은 감탄사다!-우리는 특별한 존재입니다,주일예배,김지철 목사,시 139:13~18,2007-11-25,소망교회
712,여기까지 인도하신 주님께 감사!,주일예배,김지철 목사,삼하 7:18~22,2007-11-18,소망교회
713,눈을 어둡게 하는 뇌물,주일예배,김지철 목사,출 23:6~9,2007-11-11,소망교회
714,가을에 깨닫는 지혜,주일예배,김지철 목사,갈 6:6~10,2007-11-04,소망교회
715,믿음이 담대한 사람들,주일예배,김지철 목사,히 10:35~39,2007-10-28,소망교회
716,그리스도의 몸인 교회,주일예배,김지철 목사,고전 12:20~27,2007-10-21,소망교회
717,차든지 뜨겁든지,주일예배,김지철 목사,계 3:14~22,2007-10-14,소망교회
718,주의 말씀을 지키는 교회,주일예배,김지철 목사,계 3:7~13,2007-09-30,소망교회
719,산 자 같으나 죽은 자,주일예배,김지철 목사,계 3:1~6,2007-09-23,소망교회
720,회개하지 않는 자,주일예배,김지철 목사,계 2:18~29,2007-09-16,소망교회
721,우상 제물을 버리고 하늘 만나를!,주일예배,김지철 목사,계 2:12~17,2007-09-09,소망교회
722,고난과 면류관,주일예배,김지철 목사,계 2:8~11,2007-09-02,소망교회
723,처음 사랑,주일예배,김지철 목사,계 2:1~7,2007-08-26,소망교회
724,하나님의 심판이 교회에서부터,주일예배,김지철 목사,벧전 4:15~19,2007-08-19,소망교회
725,지도자의 고뇌,주일예배,김지철 목사,민 14:1~10,2007-08-12,소망교회
726,의심이 생길 때,주일예배,김지철 목사,눅 7:18~23,2007-08-05,소망교회
727,땅 끝까지 이르러,주일예배,김지철 목사,행 1:6~8,2007-07-29,소망교회
728,이 시대의 남은 자,주일예배,김지철 목사,롬 11:1~5,2007-07-22,소망교회
729,생명보다 더 소중한 사명,주일예배,김지철 목사,행 20:17~24,2007-07-15,소망교회
730,"그 날 같은 하루(4, 5부)",주일예배,김지철 목사,벧전 4:7~11,2007-07-08,소망교회
731,"생각의 차이(2, 3부)",주일예배,김지철 목사,"왕하 5:8~14, 눅 4:27",2007-07-08,소망교회
732,당신의 스승은 누구인가?,주일예배,김지철 목사,골 2:1~5,2007-07-01,소망교회
733,칼을 쳐서 보습을 만들고,주일예배,김지철 목사,사 2:1~4,2007-06-24,소망교회
734,돈을 다스리는 사람들,주일예배,김지철 목사,시 15:1~5,2007-06-17,소망교회
735,하나님이 기뻐하는 금식,주일예배,김지철 목사,사 58:4~9,2007-06-10,소망교회
736,눈물을 통과한 사명,주일예배,김지철 목사,느 1:1~7,2007-06-03,소망교회
737,사람보다 하나님 먼저,주일예배,김지철 목사,행 5:26~32,2007-05-27,소망교회
738,아내와 남편,주일예배,김지철 목사,엡 5;22~28,2007-05-20,소망교회
739,"내 아들아, 내 아들아!",주일예배,김지철 목사,삼하 18:31~33,2007-05-13,소망교회
740,가정을 하나님의 학교로!,주일예배,김지철 목사,삼상 8:1~3,2007-05-06,소망교회
741,다시 믿음을 전파하게 하소서,주일예배,김지철 목사,딤전 2:4~7,2007-04-29,소망교회
742,다시 기도하게 하소서,주일예배,김지철 목사,사 55:6 ~ 9,2007-04-22,소망교회
743,다시 시작하게 하소서!,주일예배,김지철 목사,수 14:6~12,2007-04-15,소망교회
744,의심을 넘어 믿음에로!,주일예배,김지철 목사,요 20:24~29,2007-04-08,소망교회
745,아멘이신 예수 그리스도,주일예배,김지철 목사,고후 1:18~22,2007-04-01,소망교회
746,나라와 권세와 영광이 아버지께! (10),주일예배,김지철 목사,마 6:9~13,2007-03-25,소망교회
747,다만 악에서 구하옵소서 (9),주일예배,김지철 목사,약 4:7~10,2007-03-18,소망교회
748,우리를 시험에 들게하지 마옵소서(8),주일예배,김지철 목사,신 11:13~17,2007-03-11,소망교회
749,우리 죄를 사하여 주옵소서 (7),주일예배,김지철 목사,마 18:21~35,2007-03-04,소망교회
750,오늘 우리에게 일용할 양식을! (6),주일예배,김지철 목사,출 16:1~4,2007-02-25,소망교회
751,당신의 뜻이 이 땅에서도... (5),주일예배,김지철 목사,요 6:38~40,2007-02-18,소망교회
752,당신의 나라가 임하시옵소서(4),주일예배,김지철 목사,막 1:14~15,2007-02-11,소망교회
753,당신의 이름이 거룩히 여김을!(3),주일예배,김지철 목사,출 34:4~9,2007-02-04,소망교회
754,하늘에 계신 우리 아버지(2),주일예배,김지철 목사,마 6:9~13,2007-01-28,소망교회
755,이렇게 기도하라(1),주일예배,김지철 목사,마 6:5~9,2007-01-21,소망교회
756,먼저 성결하게 하라,주일예배,김지철 목사,수 3:1~6,2007-01-14,소망교회
757,내가 만물을 새롭게 하노라,주일예배,김지철 목사,계 21:1~8,2007-01-07,소망교회
758,여기까지 인도하신 하나님,주일예배,김지철 목사,출 13:17~22,2006-12-31,소망교회
759,하나님의 사랑 방정식,주일예배,김지철 목사,요 1:14~18,2006-12-24,소망교회
760,빛나고 당당한 그리스도인,주일예배,김지철 목사,아 6:4~10,2006-12-17,소망교회
761,말씀을 받아 먹으라,주일예배,김지철 목사,겔 3:1-3,2006-12-10,소망교회
762,말씀을 묵상하는 즐거움,주일예배,김지철 목사,시 119:145~152,2006-12-03,소망교회
763,단순한 순종,주일예배,김지철 목사,왕하 5:8~14,2006-11-26,소망교회
764,기쁨으로 주님께 나오라!,주일예배,김지철 목사,시 100:1~5,2006-11-19,소망교회
765,받은 것으로 주님께 드렸을 뿐,주일예배,김지철 목사,대상 29:10~17,2006-11-12,소망교회
766,다윗의 하나님을 비로소 찾고,주일예배,김지철 목사,대하 34:1~7,2006-11-05,소망교회
767,예수님의 거룩한 분노,주일예배,김지철 목사,눅19:45-48,2006-10-29,소망교회
768,내 이름이 거기에 있으리라,주일예배,김지철 목사,왕상 8:27~30,2006-10-22,소망교회
769,내가 여기 있나이다,주일예배,김지철 목사,사 6;6~13,2006-10-15,소망교회
770,네 죄가 사하여졌느니라,주일예배,김지철 목사,사 6:1~7,2006-10-08,소망교회
771,거룩함이 임재하는 교회,주일예배,김지철 목사,사 6:1~5,2006-10-01,소망교회
772,경우에 합당한 말,주일예배,김지철 목사,잠 25:11~12,2006-09-24,소망교회
773,마음을 춤추게 하라,주일예배,김지철 목사,잠 15:13~17,2006-09-17,소망교회
774,좋은 습관의 힘,주일예배,김지철 목사,눅 22:39~46,2006-09-10,소망교회
775,그리 아니하실지라도,주일예배,김지철 목사,단 3:8~18,2006-09-03,소망교회
776,뜻을 정한 사람,주일예배,김지철 목사,단 1:8~17,2006-08-27,소망교회
777,하나님의 디아스포라,주일예배,김지철 목사,사 41:8~16,2006-08-20,소망교회
778,중보 기도자를 찾으시는 하나님,주일예배,김지철 목사,창 18:23~33,2006-08-06,소망교회
779,하나님께서 들으시는 기도,주일예배,김지철 목사,눅 18:9~14,2006-07-30,소망교회
780,성령의 검으로!,주일예배,김지철 목사,엡 6:10~17,2006-07-23,소망교회
781,구원의 투구를 쓰라,주일예배,김지철 목사,엡 6:13~17,2006-07-16,소망교회
782,불화살을 소멸하는 믿음의 방패,주일예배,김지철 목사,엡 6:16,2006-07-09,소망교회
783,평화의 복음으로 신을 신으라,주일예배,김지철 목사,엡 6:13~17,2006-07-02,소망교회
784,십자가의 의로 가슴막이를!,주일예배,김지철 목사,엡 6:13~17,2006-06-25,소망교회
785,진실함으로 삶의 중심을!,주일예배,김지철 목사,엡 6:10~14,2006-06-18,소망교회
786,하나님의 전신 갑주를 입으라,주일예배,김지철 목사,엡 6:10-13,2006-06-11,소망교회
787,변화시키는 성령의 불,주일예배,김지철 목사,행 2:1~4,2006-06-04,소망교회
788,지도자의 길,주일예배,김지철 목사,벧전 2:13~17,2006-05-28,소망교회
789,스승과 제자,주일예배,김지철 목사,왕하 2:8~14,2006-05-21,소망교회
790,주 안에서 부모에게 순종하라,주일예배,김지철 목사,엡 6:1~4,2006-05-14,소망교회
791,내 말을 네 마음에 두라,주일예배,김지철 목사,잠 4:1~9,2006-05-07,소망교회
792,너는 복이 될지라!,주일예배,김지철 목사,창 12:1~4,2006-04-30,소망교회
793,거대증을 앓고 있는 인간,주일예배,김지철 목사,창 11:1-9,2006-04-23,소망교회
794,울음을 멈추라,주일예배,김지철 목사,요 20:11-18,2006-04-16,소망교회
795,진리가 무엇이냐?,주일예배,김지철 목사,요 18:33~40,2006-04-09,소망교회
796,은혜를 입은 사람,주일예배,김지철 목사,"창 6:8,13~22",2006-04-02,소망교회
797,하나님의 탄식,주일예배,김지철 목사,창 6:5~12,2006-03-26,소망교회
798,다스려야 할 분노,주일예배,김지철 목사,창 4:6~12,2006-03-19,소망교회
799,내 속에 있는 가인,주일예배,김지철 목사,창 4 : 1 ~ 8,2006-03-12,소망교회
800,"죄, 고통, 죽음",주일예배,김지철 목사,창 3:14~19,2006-03-05,소망교회
801,핑계대는 인간,주일예배,김지철 목사,창 3:6~14,2006-02-26,소망교회
802,유혹자의 전략,주일예배,김지철 목사,창 3:1~7,2006-02-19,소망교회
803,하인들만 아는 비밀(2부),주일예배,김지철 목사,요 2:1~11,2006-02-12,소망교회
804,복을 주고 받는 날,주일예배,김지철 목사,창 2:1~3,2006-02-05,소망교회
805,"""내 뼈 중의 뼈요""",주일예배,김지철 목사,창 2:18~25,2006-01-29,소망교회
806,"사람아, 너 자신을 알라",주일예배,김지철 목사,창 2:15~17,2006-01-22,소망교회
807,흙으로 지은 하나님의 형상,주일예배,김지철 목사,창 1:26~31,2006-01-15,소망교회
808,보시기에 좋았더라,주일예배,김지철 목사,창 1:14~23,2006-01-08,소망교회
809,빛이 있으라!,주일예배,김지철 목사,창 1:1~5,2006-01-01,소망교회
810,땅에서는 평화,주일예배,김지철 목사,눅 2:1~14,2005-12-25,소망교회
811,아버지의 마음,주일예배,김지철 목사,눅 15:18~32,2005-12-18,소망교회
812,분노하는 맏 아들,주일예배,김지철 목사,눅 15:25~32,2005-12-11,소망교회
813,스스로 돌이켜,주일예배,김지철 목사,눅 15:16~23,2005-12-04,소망교회
814,"하나님, 내 몫을 주세요.",주일예배,김지철 목사,눅 15:11~16,2005-11-27,소망교회
815,감사하는 법을 배우라,주일예배,김지철 목사,살전 5:16~18,2005-11-20,소망교회
816,하나님 나라의 문화를 이 땅 위에!,주일예배,김지철 목사,창 1:26~28,2005-11-13,소망교회
817,이웃을 만드는 사람들,주일예배,김지철 목사,눅 10:25~37,2005-11-06,소망교회
818,예수님의 종교개혁,주일예배,김지철 목사,마 23:1~12,2005-10-30,소망교회
819,성령으로 꿈을 꾸는 사람들,주일예배,김지철 목사,행 2:14~21,2005-10-23,소망교회
820,복음 전하는 사람의 복,주일예배,김지철 목사,롬 10:13~17,2005-10-16,소망교회
821,하나님의 지혜 학교,주일예배,김지철 목사,잠 3:5~7,2005-10-09,소망교회
822,영과 진리로 예배드리는 교회,주일예배,김지철 목사,요 4:21~25,2005-10-02,소망교회
823,십자가의 스캔들,주일예배,김지철 목사,고전 1:18~25,2005-09-25,소망교회
824,마르다와 마리아,주일예배,김지철 목사,눅 10:38~42,2005-09-18,소망교회
825,이웃을 돌보는 참된 경건,주일예배,김지철 목사,약 1:26~27,2005-09-11,소망교회
826,화해의 길,주일예배,김지철 목사,창 33:1~14,2005-09-04,소망교회
827,야곱에서 이스라엘로 바꾸라,주일예배,김지철 목사,창 32:22~30,2005-08-28,소망교회
828,칠년을 며칠같이!,주일예배,김지철 목사,창 29:10~20,2005-08-21,소망교회
829,큰 일을 행하신 하나님,주일예배,김지철 목사,시 126:1~6,2005-08-14,소망교회
830,인격적으로 만나는 하나님,주일예배,김지철 목사,창 28:10~22,2005-08-07,소망교회
831,가장 소중히 여겨야 할 것,주일예배,김지철 목사,창 25:27~34,2005-07-31,소망교회
832,야심인가? 비전인가?,주일예배,김지철 목사,창 25:19~26,2005-07-24,소망교회
833,가서 잠깐 쉬어라!,주일예배,김지철 목사,막 6:30~34,2005-07-17,소망교회
834,참된 쉼은 예배로부터,주일예배,김지철 목사,사 66:10~14,2005-07-10,소망교회
835,하나님의 최고 걸작품,주일예배,김지철 목사,엡 2:8~10,2005-07-03,소망교회
836,이기는 자의 비결-성령의 열매9(절제)-,주일예배,김지철 목사,고전 9:24~27,2005-06-26,소망교회
837,온유한 사람의 복 - 성령의 열매8(온유) -,주일예배,김지철 목사,마 5:1~5,2005-06-19,소망교회
838,기쁘게 충성하라 - 성령의 열매7 (충성),주일예배,김지철 목사,고전 4:1~2,2005-06-12,소망교회
839,선으로 악을 이기라 - 성령의 열매 6(양선),주일예배,김지철 목사,롬 12:16~21,2005-06-05,소망교회
840,넉넉한 마음으로 - 성령의 열매5(자비),주일예배,김지철 목사,엡 4: 29~32,2005-05-29,소망교회
841,말씀에 따라 동거하라,주일예배,김지철 목사,벧전 3:7,2005-05-22,소망교회
842,최고의 스승이신 성령,주일예배,김지철 목사,요 16:12~15,2005-05-15,소망교회
843,네 부모를 공경하라,주일예배,김지철 목사,신 5:16,2005-05-08,소망교회
844,어머니로부터 받은 믿음,주일예배,김지철 목사,딤후 1:3~5,2005-05-01,소망교회
845,끝까지 한 마음으로 (성령의 열매 4),주일예배,김지철 목사,히 12:1~2,2005-04-24,소망교회
846,모든 사람과 화목하라(성령의 열매 3),주일예배,김지철 목사,롬 12:14~18,2005-04-17,소망교회
847,화평하게 하는 사람 (성령의 열매 3),주일예배,김지철 목사,마 5:9,2005-04-10,소망교회
848,"나의 하나님, 나의 기쁨 (성령의 열매 2)",주일예배,김지철 목사,합 3:17~19,2005-04-03,소망교회
849,뜨거운 마음,주일예배,김지철 목사,눅 24:30~35,2005-03-27,소망교회
850,하나님께 버림받은 사람,주일예배,김지철 목사,사 53:1~6,2005-03-20,소망교회
851,사랑의 집중력 (성령의 열매1),주일예배,김지철 목사,고전 13:4~7,2005-03-13,소망교회
852,사랑은 오래참고 (성령의 열매 1),주일예배,김지철 목사,고전 13:4~7,2005-03-06,소망교회
853,사랑 : 가장 좋은 길(성령의 열매 1),주일예배,김지철 목사,고전 13:4~7,2005-02-27,소망교회
854,은혜에 참여한 자,주일예배,김지철 목사,빌 1:3~7,2005-02-20,소망교회
855,은혜에 참여한 자,주일예배,김지철 목사,빌 1:3~7,2005-02-20,소망교회
856,탄식 하시는 성령,주일예배,김지철 목사,롬 8:26~28,2005-02-13,소망교회
857,자녀되게 하는 성령,주일예배,김지철 목사,롬 8:12~17,2005-02-06,소망교회
858,순종이 제사보다 낫다,주일예배,김지철 목사,삼상 15:17~23,2005-01-30,소망교회
859,아브라함의 믿음을 배우라,주일예배,김지철 목사,롬 4:17~22,2005-01-23,소망교회
860,내가 주의 말씀을 사랑하나이다!,주일예배,김지철 목사,시 119:97~104,2005-01-16,소망교회
861,“구하라 그리하면 주시리라” - 기도하기를 배우라 -,주일예배,김지철 목사,약 1:5~8,2005-01-09,소망교회
862,예수님에게 배우라 !,주일예배,김지철 목사,마 11:28~30,2005-01-02,소망교회
863,심판 날에 피할 길,주일예배,김지철 목사,마 11:20~24,2004-12-26,소망교회
864,먹던 부스러기라도!,주일예배,김지철 목사,막 7:24~30,2004-12-19,소망교회
865,생명수이신 예수님,주일예배,김지철 목사,요 4:5~14,2004-12-12,소망교회
866,세상 살 맛을 회복한 사람,주일예배,김지철 목사,눅 19:1~10,2004-12-05,소망교회
867,어찌하여 무서워하느냐?,주일예배,김지철 목사,마 8: 23-27,2004-11-28,소망교회
868,기뻐하고 즐거워하라,주일예배,김지철 목사,삼상 2:1~7,2004-11-21,소망교회
869,처음 사랑을 회복하라,주일예배,김지철 목사,계 2:1~7,2004-11-14,소망교회
870,영적 침체 벗어나기,주일예배,김지철 목사,왕상 19:1-8,2004-11-07,소망교회
871,성령의 교회 5 : 자유와 해방을 창조하는 교회,주일예배,김지철 목사,눅 4:16~21,2004-10-31,소망교회
872,성령의 교회 4 : 다양성 가운데 일치,주일예배,김지철 목사,고전 12:12-20,2004-10-24,소망교회
873,성령의교회3 : 성품을 변화시키는 성령,주일예배,김지철 목사,갈 5:16~23,2004-10-17,소망교회
874,성령의 교회2 : 성령의 은사를 누리라!,주일예배,김지철 목사,롬 12:3~8,2004-10-10,소망교회
875,성령의 교회:예수님은 주님이시다,주일예배,김지철 목사,고전 12:1~3,2004-10-03,소망교회
876,둘이 한 몸,주일예배,김지철 목사,고전 7:2~5,2004-09-26,소망교회
877,권력은 사명이다,주일예배,김지철 목사,눅 22:24~27,2004-09-19,소망교회
878,하나님이냐? 돈이냐?,주일예배,김지철 목사,마 6:19~24,2004-09-12,소망교회
879,게으름은 죄악이다,주일예배,김지철 목사,잠 26:13~16,2004-09-05,소망교회
880,시험을 이기게 하시는 하나님,주일예배,김지철 목사,고전 10:12~13,2004-08-29,소망교회
881,사명을 받은 거룩한 존재,주일예배,김지철 목사,요 17:15~19,2004-08-22,소망교회
882,나라를 위해 기도하는 성도,주일예배,김지철 목사,출 32:7~14,2004-08-15,소망교회
883,그리스도를 향해 성숙하라,주일예배,김지철 목사,엡 4;13~16,2004-08-08,소망교회
884,하나님과 가까이 사귀라,주일예배,김지철 목사,약 4:5-8,2004-08-01,소망교회
885,억압에서 해방되는 날,주일예배,김지철 목사,눅 13:10-17,2004-07-25,소망교회
886,자연과 더불어 쉼을 누리라,주일예배,김지철 목사,시 104:24~32,2004-07-18,소망교회
887,듣고 질문하라,주일예배,김지철 목사,눅 2:46~52,2004-07-11,소망교회
888,시간을 거룩하게 사용하라,주일예배,김지철 목사,사 55:6-9,2004-07-04,소망교회
889,사랑을 깨닫고 사랑하게 하시는 성령,주일예배,김지철 목사,롬 5:5~8,2004-06-27,소망교회
890,술 취하지 말고 성령으로 충만하라,주일예배,김지철 목사,엡 5:15~18,2004-06-20,소망교회
891,진리를 살해한 사람들,주일예배,김지철 목사,마 14:1~12,2004-06-13,소망교회
892,성령으로 난 사람,주일예배,김지철 목사,요 3:1~8,2004-06-06,소망교회
893,새 시대를 여시는 성령,주일예배,김지철 목사,행 2:14~21,2004-05-30,소망교회
894,결혼은 하나님의 선물,주일예배,김지철 목사,창 2:20~25,2004-05-23,소망교회
895,젊을 때에 먼저 할 일,주일예배,김지철 목사,전 12:1~2,2004-05-16,소망교회
896,부모님은 하나님의 대리자,주일예배,김지철 목사,잠 23:22~25,2004-05-09,소망교회
897,예수님이 축복하신 어린이,주일예배,김지철 목사,막 10:13~16,2004-05-02,소망교회
898,믿음의 좋은 친구,주일예배,김지철 목사,고전 3:5~9,2004-04-25,소망교회
899,죽으면 산다,주일예배,김지철 목사,로마서 6:1~5,2004-04-18,소망교회
900,누가 우리를 위하여?,주일예배,김지철 목사,마가복음 16:1~8,2004-04-11,소망교회
901,어찌하여 나를 버리셨나이까?,주일예배,김지철 목사,마가복음 15장 33절~39절,2004-04-04,소망교회
902,인내는 성숙함의 지름길,주일예배,김지철 목사,야고보서 1장 2절~4절,2004-03-28,소망교회
903,부정적 자아상을 넘어 사명자로,주일예배,김지철 목사,예레미야 1장 4절~10절,2004-03-21,소망교회
904,홀로 있기를 배우라,주일예배,김지철 목사,누가복음 5장 15절~16절,2004-03-14,소망교회
905,순전하되 지혜로운 사람,주일예배,김지철 목사,마태복음 10장 16절,2004-03-07,소망교회
