,제목,예배,설교자,본문,날짜,교회
203,“내 아버지 집에 있어야 될 줄을 알지 못 하셨나이까?”,주일예배,김지철 목사,눅 2:41~52,2017-05-07,소망교회
204,지도자의 성공과 실패,주일예배,김지철 목사,민 20:10~13,2017-04-30,소망교회
205,질그릇에 담긴 하나님의 영광,주일예배,김지철 목사,고후 4:6~10,2017-04-23,소망교회
206,"부활, 믿음의 사건",주일예배,김지철 목사,막 16:9~15,2017-04-16,소망교회
207,“그가 찔림은 우리의 허물 때문이요”,주일예배,김지철 목사,사 53:1~6,2017-04-09,소망교회
208,"사랑 없는 지식? 지식 없는 사랑? - 교회, 배움의 공동체 2 -",주일예배,김지철 목사,빌 1:8~11,2017-04-02,소망교회
209,"교회, 배움의 공동체!",주일예배,김지철 목사,빌 4:8~9,2017-03-26,소망교회
210,"교회, 기도의 공동체!",주일예배,김지철 목사,눅 11:1~4,2017-03-19,소망교회
211,"하나님의 내어주심, 인간의 내어드림",주일예배,김지철 목사,롬 12:1~2,2017-03-12,소망교회
212,“일어나 벧엘로 올라가자!”,주일예배,김지철 목사,창 35:1~5,2017-03-05,소망교회
213,"교회, 예배의 공동체!",주일예배,김지철 목사,창 35:1~5,2017-02-26,소망교회
214,하나님께서 가르치신 대로,주일예배,김지철 목사,요 8:28~30,2017-02-19,소망교회
215,성경 읽기와 하나님의 뜻 찾기,주일예배,김지철 목사,요 14:25~27,2017-02-12,소망교회
216,"“주의 말씀은 내 발에 등, 내 길의 빛”",주일예배,김지철 목사,시 119:105~109,2017-02-05,소망교회
217,"교회, 말씀의 공동체!",주일예배,김지철 목사,마 4:1~4,2017-01-29,소망교회
218,동역자의 복 - 모세 이야기 11 -,주일예배,김지철 목사,출 6:28~7:7,2017-01-22,소망교회
219,"나는 여호와, 나를 바라보라! - 모세 이야기 10 -",주일예배,김지철 목사,출 6:2~9,2017-01-15,소망교회
220,꿈을 꿀 수 없는 사람들 - 모세 이야기 9 -,주일예배,김지철 목사,출 5:15~6:1,2017-01-08,소망교회
221,"다시 새롭게, 다시 거룩하게!",주일예배,김지철 목사,계 21:1~5,2017-01-01,소망교회
222,˝큰 기쁨의 좋은 소식˝,주일예배,김지철 목사,눅 2:8~14,2016-12-25,소망교회
223,“여호와가 누구이기에?” - 모세 이야기 8 -,주일예배,김지철 목사,출 5:1~9,2016-12-18,소망교회
224,순종과 불순종 사이에서 - 모세 이야기 7 -,주일예배,김지철 목사,출 4:10~17,2016-12-11,소망교회
225,“내가 누구이기에?” - 모세 이야기 6 -,주일예배,김지철 목사,출 3:9~14,2016-12-04,소망교회
226,"하나님의 아픔, 모세의 아픔이 되다 - 모세 이야기 5 -",주일예배,김지철 목사,출 3:5~10,2016-11-27,소망교회
227,“내게 주신 은혜를 무엇으로 보답할까?”,주일예배,김지철 목사,시 116:12~14,2016-11-20,소망교회
228,너의 트라우마를 해체하라! - 모세 이야기 4 -,주일예배,김지철 목사,출 3:4~5,2016-11-13,소망교회
229,모세의 트라우마 - 모세 이야기 3 -,주일예배,김지철 목사,출 3:1~5,2016-11-06,소망교회
230,진정한 용기란? - 모세 이야기 2 -,주일예배,김지철 목사,출 1:15~22,2016-10-30,소망교회
231,모성의 사랑에 빚진 자 - 모세 이야기 1 -,주일예배,김지철 목사,출 1:22~2:10,2016-10-23,소망교회
232,승리의 면류관을 사모하며!,주일예배,서정운 목사,딤후 4:6~8,2016-10-16,소망교회
233,승리의 면류관을 사모하며!,주일예배,태원석 목사,딤후 4:6~8,2016-10-16,소망교회
234,"거룩한 매력, 바로 예수!",주일예배,김지철 목사,눅 10:21~24,2016-10-09,소망교회
235,"다시 새롭게, 다시 거룩하게!",주일예배,김지철 목사,롬 6:1~5,2016-10-02,소망교회
236,사명을 위한 ‘인복(人福)’ - 일과 신앙 6 -,주일예배,김지철 목사,행 15:36~41,2016-09-25,소망교회
237,일하고 쉬는가? 쉬고 일하는가? -일과 신앙 5-,주일예배,김지철 목사,"창 2:1~3, 막 2:27~28",2016-09-18,소망교회
238,인생이 누려야 할 네가지 일 - 일과 신앙 4 -,주일예배,김지철 목사,전 9:7~10,2016-09-11,소망교회
239,"인생에서 가장 중요한 일, 배우는 것! - 일과 신앙 3 -",주일예배,김지철 목사,"전 12:9~13, 마 11:29",2016-09-04,소망교회
240,"인간의 경영, 하나님의 경영 - 일과 신앙2 -",주일예배,김지철 목사,"잠 15:22, 16:1~3",2016-08-28,소망교회
241,"일, 죄의 결과가 아니라 하나님의 선물",주일예배,김지철 목사,"창 2:15,3:17~19",2016-08-21,소망교회
242,"신뢰, 개혁의 기초",주일예배,김지철 목사,왕하 23:21~27,2016-08-14,소망교회
243,우리는 하나님의 복덩어리,주일예배,김지철 목사,갈 3:6~9,2016-08-07,소망교회
244,내 삶의 영적 여정,주일예배,김지철 목사,창 47:7~10,2016-07-31,소망교회
245,“내가 어찌 아끼지 아니하겠느냐”,주일예배,김지철 목사,욘 4:4~11,2016-07-24,소망교회
246,“네가 성내는 것이 옳으냐”,주일예배,김지철 목사,욘 3:10~4:4,2016-07-17,소망교회
247,"회개, 하나님의 마음을 움직이는 열쇠",주일예배,김지철 목사,욘 3:5~10,2016-07-10,소망교회
248,절반의 순종?!,주일예배,김지철 목사,욘 3:1~5,2016-07-03,소망교회
249,절반의 회개?!,주일예배,김지철 목사,욘 2:5~10,2016-06-26,소망교회
250,“스올의 뱃속에서 부르짖었더니”,주일예배,김지철 목사,욘 1:17~2:4,2016-06-19,소망교회
251,“나 때문이오!”,주일예배,김지철 목사,욘 1:11~16,2016-06-12,소망교회
252,"세상 사람들, 요나에게 묻다",주일예배,김지철 목사,욘 1:4~10,2016-06-05,소망교회
253,하나님의 뜻에 반항하는 요(못된)나,주일예배,김지철 목사,욘 1:1~3,2016-05-29,소망교회
254,열정을 넘어 우정에로!,주일예배,김지철 목사,잠 27:17,2016-05-22,소망교회
255,하나되게 하시는 성령,주일예배,김지철 목사,행 15:6~11,2016-05-15,소망교회
256,하나님에 버금가는 어머니의 사랑,주일예배,김지철 목사,사 49:14~15,2016-05-08,소망교회
257,“자라가며... 사랑스러워 가시더라”,주일예배,김지철 목사,눅 2:52,2016-05-01,소망교회
258,예언과 비전의 성령,주일예배,김지철 목사,행 2:14~21,2016-04-24,소망교회
259,하나되게 하시는 소통의 영,주일예배,김지철 목사,행 2:5~13,2016-04-17,소망교회
260,사람을 선택하는 하나님의 방식,주일예배,김지철 목사,행 1:21~26,2016-04-10,소망교회
261,기다림의 영을 지닌 사람들,주일예배,김지철 목사,눅 24:44~49,2016-04-03,소망교회
262,예수 다시 사셨다!,주일예배,김지철 목사,막 16:1~8,2016-03-27,소망교회
263,“ 어찌하여 나를...?! ” - 예수의 고난 4 -,주일예배,김지철 목사,막 15:33~39,2016-03-20,소망교회
264,베드로의 통곡 - 예수의 고난 3 -,주일예배,김지철 목사,막 14:66~72,2016-03-13,소망교회
265,"기도 : 나의 끝, 하나님의 시작 - 예수의 고난 2 -",주일예배,김지철 목사,막 14:32~42,2016-03-06,소망교회
266,예수님과 한 몸이 된 사람들 - 예수의 고난1 -,주일예배,김지철 목사,막 14:22~26,2016-02-28,소망교회
267,"“내 영혼아, 어찌하여 낙심하는가?” - 그리스도인의 자존감 -",주일예배,김지철 목사,시 42:1~5,2016-02-21,소망교회
268,"좋은 친구, 나쁜 친구 - 욥의 세 친구들 -",주일예배,김지철 목사,욥 2:11~13,2016-02-14,소망교회
269,“어머니의 하나님이 나의 하나님이 되시리니” - 나오미와 룻의 신뢰관계 -,주일예배,김지철 목사,룻 1:11~18,2016-02-07,소망교회
270,나는 신뢰할 만한 사람인가?,주일예배,김지철 목사,몬 1:8~18,2016-01-31,소망교회
271,"“네 기도를 들었고, 네 눈물을 보았노라” - 히스기야의 기도 -",주일예배,김경진 목사,왕하 20:1~7,2016-01-24,소망교회
